group_id,seed,bead_index,segments,free_progress,hidden_progress,progress_gap,free_tangent_motion,hidden_tangent_motion,free_vertical_motion,hidden_vertical_motion,free_crossed_halfway_plane,hidden_crossed_halfway_plane
zl_071001,71001,0,all|pulled_side,0.07837188835714493,0.09905911885099614,-0.02068723049385121,0.0036477578282313947,0.013522029728971367,-1.2504277545326986e-06,7.080780461193523e-07,True,True
zl_071001,71001,1,all|pulled_side,0.07562919347251473,0.07723343590254211,-0.0016042424300273805,0.005028766282453426,0.0007136493911566941,1.6395417820527086e-06,-2.549742786794873e-06,True,True
zl_071001,71001,2,all|pulled_side,0.08007390496038158,0.07800140383429885,0.002072501126082732,0.01750209243145429,0.007409801007283626,-2.989925738303839e-06,6.521461171619773e-06,True,True
zl_071001,71001,3,all|pulled_side,0.0637120199250377,0.05858269210841749,0.005129327816620205,-0.004910242324432105,-0.0019434783816007183,-3.3761085868003887e-06,2.832713162238907e-05,True,True
zl_071001,71001,4,all|pulled_side,0.06268450442797953,0.0576994174014858,0.00498508702649373,-0.009872895744854993,-0.009625464713137296,-1.07870670886228e-06,0.00010364519904268021,True,True
zl_071001,71001,5,all|pulled_side,0.05648217966938503,0.051371768151881006,0.005110411517504021,0.0035948326006465074,0.0029685301485807523,-6.740767902425546e-07,0.00040770788787319445,True,True
zl_071001,71001,6,all|blocked,0.03948929522703157,0.0348456936343092,0.004643601592722368,0.015350092516214796,0.012805950177389731,-7.581713503445123e-07,0.0016072108952685134,False,False
zl_071001,71001,7,all|blocked,0.02312642000292167,0.016082712435322936,0.007043707567598735,0.013474423139418146,0.012386252983519381,-3.982176225551977e-06,0.0018798544756123544,False,False
zl_071001,71001,8,all|blocked,0.012347918990989748,0.009052536361249502,0.0032953826297402455,0.009873922488839799,0.009034757710492726,1.1903876090749166e-06,7.910523068739052e-05,False,False
zl_071001,71001,9,all|blocked,0.0016922987346259576,0.001414552240523481,0.00027774649410247654,0.005525000683184273,0.005325305487898163,2.3023965709653357e-06,-9.39608091254495e-06,False,False
zl_071001,71001,10,all|blocked,-0.00014060370300398282,0.0003256976508309694,-0.00046630135383495224,8.262978463163253e-05,0.0008580792018187187,3.0940986694982797e-06,2.8564977090578605e-06,False,False
zl_071001,71001,11,all|blocked,0.0005013201547733974,0.0008828756266737864,-0.000381555471900389,-0.003248398920448853,-0.001355764529007967,2.4769628233951846e-06,-1.0727575198581779e-05,False,False
zl_071001,71001,12,all|blocked,0.0020333410016393147,0.0012707947842839772,0.0007625462173553375,-0.004680003693051133,-0.0016457939418471617,7.990825005596211e-06,3.658819982104485e-05,False,False
zl_071001,71001,13,all|blocked,0.005099860069127424,0.003177225272081834,0.0019226347970455896,-0.0026628647102504726,-6.380723805761261e-06,1.9338284090195633e-05,0.00015764883292398134,False,False
zl_071001,71001,14,all|blocked,0.005138896778247067,0.0032306236783882277,0.0019082730998588393,-0.0019324292508404457,-0.0001311222810700312,7.504340308025267e-05,0.0006434858706789934,False,False
zl_071001,71001,15,all|blocked,0.0031923965481975166,0.0027155305509443278,0.0004768659972531888,-0.0029986630545858622,-0.0007345659349365336,-0.00011267991469317718,-0.0013848297452774558,False,False
zl_071001,71001,16,all|blocked,0.0073424753245933385,0.006104522713453353,0.0012379526111399855,-0.004444061828934891,-0.0031339506795189835,-0.0016527287139669559,-0.0010413243884562495,False,False
zl_071001,71001,17,all|trailing_side,0.015088706123800144,0.0060562244343600625,0.009032481689440082,-0.005196052557897377,-0.0017483652062442341,0.004080307961663176,0.003233489847573901,False,False
zl_071001,71001,18,all|trailing_side,0.020270770295375454,0.007794117050150216,0.012476653245225237,0.0005580253326572578,0.00010022226625995946,-0.0011705042131619865,0.0001358122868919641,False,False
zl_071001,71001,19,all|trailing_side,0.017015705055281605,0.006402215761200066,0.010613489294081539,0.007034793392045777,0.003763343968632984,-0.0058348483420977764,0.0009455012310402976,False,False
zl_071001,71001,20,all|trailing_side,-0.0013103519522537446,0.005784673997948314,-0.007095025950202059,0.005649463144640243,0.0022425621789144566,-0.0019760114395094945,-0.0001532291069889502,False,False
zl_071001,71001,21,all|trailing_side,0.002586451440389179,0.0015873906367388163,0.0009990608036503628,0.0025441790025954297,0.003057596823520976,0.0047456461779311065,0.0024601862493380065,False,False
zl_071001,71001,22,all|trailing_side,-0.0009553326470652352,-0.002246527016036328,0.0012911943689710927,0.0015558035392142225,0.0032810559579005655,-0.00013917756038055867,-8.03745258484874e-05,False,False
zl_071001,71001,23,all|trailing_side,-0.0021980750263446286,-0.004856203613396622,0.002658128587051993,0.00325527365188703,0.004288644495004262,-0.001338508458097236,-0.0006025211309015144,False,False
zl_071002,71002,0,all|pulled_side,-0.0020121448323097762,0.08498702053446804,-0.0869991653667778,-7.001766357712133e-05,0.04917641775946656,-2.6380405499454654e-06,1.1496495442245985e-06,False,True
zl_071002,71002,1,all|pulled_side,-0.0017809837110378656,0.06611967070747139,-0.06790065441850926,-0.00024140206614324522,0.03127297423118361,-3.43225082495395e-06,-2.7607109565020924e-06,False,True
zl_071002,71002,2,all|pulled_side,-0.001891119379016607,0.06606727517143728,-0.06795839455045388,0.0014599211812974444,0.03166391907545303,9.6381847876012e-08,3.4925044868888006e-07,False,True
zl_071002,71002,3,all|pulled_side,5.5140813833944846e-05,0.04795410455379859,-0.04789896373996464,0.0002840636161452192,0.011503550165070625,8.384687543092073e-07,-1.6432612204939773e-06,False,True
zl_071002,71002,4,all|pulled_side,-5.5170850430029764e-05,0.049179453875321286,-0.04923462472575132,-2.2657626121600208e-05,-0.0013663926616722562,1.2365214796293891e-06,-2.388315301996187e-06,False,True
