condition,step,x,y,z,insertion_depth,lateral_offset,max_curvature,jam_contact_force,lateral_contact_force
free_insert,0,-0.05483827282684764,-0.00010568708201995117,0.04541979778018691,0.0,-0.00010568708201995117,3.3011713371034404,0.0,0.0
free_insert,1,-0.05433499428442151,-0.00010419141789522154,0.04545559595434563,0.0,-0.00010419141789522154,3.5581804012067573,0.0,0.0
free_insert,2,-0.05354796259198224,-0.00010219274085190071,0.04547983545480369,0.0,-0.00010219274085190071,3.745874643358136,0.0,0.0
free_insert,3,-0.05275837781043422,-0.0001000530020324977,0.04546173025842671,0.0,-0.0001000530020324977,3.920523013313736,0.0,0.0
free_insert,4,-0.05195505758190673,-9.78866957853879e-05,0.045458460412826134,0.0,-9.78866957853879e-05,4.065756975333211,0.0,0.0
free_insert,5,-0.05116015165749242,-9.570816016224607e-05,0.04543920887162958,0.0,-9.570816016224607e-05,4.198606234480834,0.0,0.0
free_insert,6,-0.05036045886427995,-9.353116305274826e-05,0.04543001366498077,0.0,-9.353116305274826e-05,4.33422505267313,0.0,0.0
free_insert,7,-0.04955776401876043,-9.135334600583462e-05,0.045421066018246865,0.0,-9.135334600583462e-05,4.452055189866222,0.0,0.0
free_insert,8,-0.04875999247042086,-8.917522537165516e-05,0.04540856778295791,0.0,-8.917522537165516e-05,4.588557311688254,0.0,0.0
free_insert,9,-0.047961477746216404,-8.699645526270624e-05,0.04539506630404745,0.0,-8.699645526270624e-05,4.700570903009506,0.0,0.0
free_insert,10,-0.04716075146414929,-8.481884553966972e-05,0.045385169015608476,0.0,-8.481884553966972e-05,4.827653247650231,0.0,0.0
free_insert,11,-0.046360346677607106,-8.264098223485127e-05,0.045376615627766945,0.0,-8.264098223485127e-05,4.954373946344407,0.0,0.0
free_insert,12,-0.0455577448534637,-8.04627989738977e-05,0.04536795488920782,0.0,-8.04627989738977e-05,5.066259513108038,0.0,0.0
free_insert,13,-0.04476083730915484,-7.828455498275457e-05,0.04535331074796666,0.0,-7.828455498275457e-05,5.185427615655003,0.0,0.0
free_insert,14,-0.04395998691796625,-7.610665213850477e-05,0.04534505866464996,0.0,-7.610665213850477e-05,5.308733427528083,0.0,0.0
free_insert,15,-0.043160088135527304,-7.392829996683178e-05,0.04533304790925787,0.0,-7.392829996683178e-05,5.422694350964552,0.0,0.0
free_insert,16,-0.04235990093571778,-7.17503678068887e-05,0.04532361254297039,0.0,-7.17503678068887e-05,5.545178784281001,0.0,0.0
free_insert,17,-0.04155747680551822,-6.957217462499107e-05,0.04531497349400662,0.0,-6.957217462499107e-05,5.652017434429293,0.0,0.0
free_insert,18,-0.04075926831284478,-6.739412323826406e-05,0.045302418914159114,0.0,-6.739412323826406e-05,5.776966596943937,0.0,0.0
free_insert,19,-0.039957348562851214,-6.521591103038322e-05,0.04529363369325389,0.0,-6.521591103038322e-05,5.881681061816919,0.0,0.0
free_insert,20,-0.03916006040701566,-6.303775591927093e-05,0.045279053362355264,0.0,-6.303775591927093e-05,5.993274795562869,0.0,0.0
free_insert,21,-0.03835937405397367,-6.085981575249977e-05,0.04527084599085142,0.0,-6.085981575249977e-05,6.109710077059279,0.0,0.0
free_insert,22,-0.03755941945344845,-5.868145737629294e-05,0.045258814791784605,0.0,-5.868145737629294e-05,6.217574147170941,0.0,0.0
free_insert,23,-0.03675930912865858,-5.650349204901546e-05,0.045249327344554266,0.0,-5.650349204901546e-05,6.334383054444131,0.0,0.0
free_insert,24,-0.03595714582570116,-5.4325303025895194e-05,0.045240801513337044,0.0,-5.4325303025895194e-05,6.435927825734948,0.0,0.0
free_insert,25,-0.035158744022322296,-5.214717000759049e-05,0.045228099215411134,0.0,-5.214717000759049e-05,6.555724512466835,0.0,0.0
free_insert,26,-0.03435802748166119,-4.996981035784579e-05,0.045222234835711764,0.0,-4.996981035784579e-05,6.651929096491974,0.0,0.0
free_insert,27,-0.033559997651463495,-4.779043944205542e-05,0.045205769443154895,0.0,-4.779043944205542e-05,6.766525490238269,0.0,0.0
