pair,count,mean_rgb_abs_diff,max_rgb_abs_diff,mean_depth_abs_diff,max_depth_abs_diff
free_vs_hidden_pin,50,0.0015607204879052006,184.0,4.7303428971190445e-07,0.03722137212753296
free_vs_hidden_high_friction,50,0.004438585087191313,193.0,1.3393511019899052e-06,0.044737398624420166
hidden_pin_vs_hidden_high_friction,50,0.004114062490407378,193.0,1.227026488379579e-06,0.044737398624420166
