k,mean_best_of_k_final_chamfer,median_best_of_k_final_chamfer
1,26.99731945065619,24.51616382598877
4,15.778962237163654,15.236910820007324
8,12.58570989127298,12.466299057006836
16,10.44500670618224,10.260382175445557
32,8.729906971014818,8.633248805999756
