baseline,checkpoint_dir,condition,visible_seed,episode_idx,success,final_fraction,final_curve,num_steps,mean_action_ood_score,predicted_branch,failure_reason,primary_hidden_condition,diagnostic_hidden_condition,primary_pair,diagnostic_pair,selected_recoverable_config,rollout_runtime
paper_state,/data/state_diff2/checkpoints/phase3/paper_state/fold_0_seed_0,hidden_breakaway_pin,200002,2,0,0.0,0.19836318492889404,16,0.28716319240629673,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
paper_state,/data/state_diff2/checkpoints/phase3/paper_state/fold_0_seed_0,hidden_breakaway_pin,200003,3,0,0.0,0.17079095542430878,16,0.24950522277504206,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,free,200000,0,0,0.20833333333333334,0.21293963491916656,16,0.2087386343628168,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,free,200001,1,0,0.0,0.27733318507671356,16,0.15887022437527776,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,free,200002,2,0,0.0,0.26758231595158577,16,0.2220345502719283,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,free,200003,3,0,0.0,0.24628488719463348,16,0.18346893973648548,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_pin,200000,0,0,0.0,0.1773025095462799,5,0.3259654462337494,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_pin,200001,1,0,0.0,0.27029477432370186,1,0.3914051353931427,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_pin,200002,2,0,0.0,0.23725665360689163,1,0.5889216661453247,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_pin,200003,3,0,0.0,0.2274695262312889,1,0.4803857207298279,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_high_friction,200000,0,0,0.0,0.19374200701713562,16,0.34577055275440216,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_high_friction,200001,1,0,0.0,0.26067737117409706,16,0.17739996733143926,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_high_friction,200002,2,0,0.0,0.17997267842292786,16,0.2649507587775588,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_high_friction,200003,3,0,0.0,0.2536180391907692,16,0.20693900575861335,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_breakaway_pin,200000,0,0,0.0,0.23004315048456192,16,0.19698776258155704,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_breakaway_pin,200001,1,0,0.0,0.25279948487877846,16,0.17388128861784935,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_breakaway_pin,200002,2,0,0.0,0.172277569770813,16,0.283771775662899,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
state_action,/data/state_diff2/checkpoints/phase3/state_action/fold_0_seed_0,hidden_breakaway_pin,200003,3,0,0.0,0.2607937417924404,16,0.29173911828547716,nearest_branch_proxy_unavailable,,hidden_breakaway_pin,hidden_pin,free_vs_hidden_breakaway_pin,free_vs_hidden_pin,breakaway_force_2p6_disp_0p045_pull_0p36,tf_free_learned_policy
