condition,episodes,success_rate,mean_final_fraction,mean_first_curve,mean_final_curve,std_final_curve,mean_episode_len
free,50,1.0,1.0,0.014387576673179865,0.0036695422767661513,0.0013507299088519717,5.82
hidden_pin,50,0.0,0.04666666666666667,0.01439557570964098,0.01179750559385866,0.002485728900872607,3.82
hidden_high_friction,50,1.0,1.0,0.014397066924721003,0.004398716751020402,0.0014081529584761337,5.82
