bad_segment_constraint_count_max,bad_segment_constraint_count_mean,bad_segment_constraint_count_p50,bad_segment_constraint_count_p90,bad_segment_constraint_count_p95,bad_segment_constraint_count_p99,chain_family_failure_rate,chain_family_score_max,chain_family_score_mean,chain_family_score_p50,chain_family_score_p90,chain_family_score_p95,chain_family_score_p99,chain_ratio_target_max,chain_ratio_target_mean,chain_ratio_target_p50,chain_ratio_target_p90,chain_ratio_target_p95,chain_ratio_target_p99,config,coordinate_failure_rate,edge_vector_rmse_max,edge_vector_rmse_mean,edge_vector_rmse_p50,edge_vector_rmse_p90,edge_vector_rmse_p95,edge_vector_rmse_p99,failed_category_count_max,failed_category_count_mean,failed_category_count_p50,failed_category_count_p90,failed_category_count_p95,failed_category_count_p99,final_ordered_rmse_max,final_ordered_rmse_mean,final_ordered_rmse_p50,final_ordered_rmse_p90,final_ordered_rmse_p95,final_ordered_rmse_p99,gross_compression_fraction_center,gross_stretch_fraction_center,quaternion_failure_rate,quaternion_norm_max,quaternion_norm_mean,quaternion_norm_p50,quaternion_norm_p90,quaternion_norm_p95,quaternion_norm_p99,query_count,query_has_valid_candidate_rate,sample_count,sample_validity_rate,segment_element_score_max,segment_element_score_mean,segment_element_score_p50,segment_element_score_p90,segment_element_score_p95,segment_element_score_p99,segment_family_failure_rate,segment_family_score_max,segment_family_score_mean,segment_family_score_p50,segment_family_score_p90,segment_family_score_p95,segment_family_score_p99,segment_ratio_center_max,segment_ratio_center_mean,segment_ratio_center_p50,segment_ratio_center_p90,segment_ratio_center_p95,segment_ratio_center_p99,segment_ratio_target_max,segment_ratio_target_mean,segment_ratio_target_p50,segment_ratio_target_p90,segment_ratio_target_p95,segment_ratio_target_p99,timestep,trajectory_ordered_rmse_max,trajectory_ordered_rmse_mean,trajectory_ordered_rmse_p50,trajectory_ordered_rmse_p90,trajectory_ordered_rmse_p95,trajectory_ordered_rmse_p99
64.0,1.234375,0.0,1.0,1.0,24.30999999999984,0.5,1718.8214111328125,95.90439969301224,65.216552734375,110.09544906616212,120.64887580871579,784.2641783142052,3.2722713947296143,1.0737125305458903,1.0445467829704285,1.0993220210075378,1.1177527010440826,2.519196653366088,v_baseline_replay,0.0,0.028896844014525414,0.00480333048835746,0.004380696220323443,0.004880253877490759,0.004922597389668226,0.014002424031495988,2.0,0.75,1.0,2.0,2.0,2.0,0.024553315714001656,0.003580673594115069,0.0032239388674497604,0.0037879364332184195,0.004060480371117591,0.011695050993002899,0.005095108695652174,0.0020380434782608695,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.40625,64,0.40625,1150.2135009765625,36.975185905649006,26.654452323913574,75.5751708984375,95.71496124267574,167.43153778076214,0.25,1150.2135009765625,142.64886796474457,125.93387222290039,153.88413848876954,165.68302230834956,544.3082901000952,9.131176948547363,1.0629930357422184,1.0305508375167847,1.4518184185028078,1.6126438558101646,2.1837085461616548,9.123455047607422,1.0751792205460926,1.0388663411140442,1.467126202583313,1.6307032644748687,2.258434023857118,0,0.022186897695064545,0.003489956201519817,0.003196193720214069,0.003518941882066429,0.0036050365888513625,0.010494311121292364
91.0,49.75,48.0,57.0,61.0,73.98999999999992,1.0,17752.748046875,1919.631856918335,1642.239501953125,2249.135107421875,2353.554724121094,8303.241311035119,22.611608505249023,2.6158598330803216,2.3707704544067383,2.8279095888137817,3.1706438064575195,15.967145156860346,v_baseline_replay,0.015625,0.20905213057994843,0.028348094114335254,0.02546292543411255,0.02894912473857403,0.03148781303316354,0.09861050538718656,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.1838468611240387,0.02104748660349287,0.01828117575496435,0.022513417899608614,0.023119264747947454,0.08296128951013047,0.01375679347826087,0.1358695652173913,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,9760.9716796875,240.33778398356947,159.10232543945312,477.81181945800785,612.0708862304683,1712.6504052734379,1.0,9760.9716796875,969.427538394928,819.5571899414062,987.4793395996095,1223.762664794921,4447.117708740213,70.00300598144531,2.591286282439282,2.124752163887024,4.378483009338379,5.326610898971555,13.109059286117557,69.94380187988281,2.6359847573949082,2.149973750114441,4.489815950393678,5.527729344367981,14.180249376297,10,0.16138599812984467,0.020908894352032803,0.018726110458374023,0.020845781639218332,0.022641977202147237,0.07613437796011532
91.0,67.40625,67.5,74.0,76.0,82.17999999999996,1.0,37672.97265625,3537.0314083099365,3014.264892578125,3745.335791015625,3904.410693359375,16542.91846679679,47.05989074707031,4.090998301282525,3.525212049484253,4.400607585906982,4.752807140350342,34.41408824920652,v_baseline_replay,0.03125,0.4454609155654907,0.046349487092811614,0.04047038592398167,0.04679435603320599,0.051015257462859134,0.2003842206671824,3.0,2.03125,2.0,2.0,2.0,3.0,0.3835173547267914,0.03622360291774385,0.029568659141659737,0.03773157112300396,0.0408678401261568,0.17424634102731856,0.004925271739130435,0.3571671195652174,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,20814.53125,439.4070158118316,296.2144317626953,813.7827026367188,1020.1896911621092,3868.012868652345,1.0,20814.53125,1603.903720855713,1310.0345458984375,1557.6426513671877,1680.5599121093746,8988.903225097609,148.14366149902344,4.052985166625939,3.0942903757095337,6.7536478519439695,8.211736345291136,28.349531936645516,148.0183868408203,4.110125809498245,3.1387875080108643,6.846984863281251,8.433334302902217,28.346364402771002,25,0.33993566036224365,0.03640129929408431,0.03076918888837099,0.0374142274260521,0.040903104841709136,0.15528521887957975
92.0,75.734375,76.0,80.0,81.0,85.69999999999997,1.0,52005.33203125,5082.8222007751465,4301.968505859375,5292.118798828125,5483.446679687499,23191.23428710926,59.801116943359375,5.398095402866602,4.6256492137908936,5.671929121017456,6.106614708900452,46.87104873657224,v_baseline_replay,0.015625,0.5839263796806335,0.06214144453406334,0.05407736077904701,0.06067238859832287,0.061772975698113436,0.2612989886105047,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.48887547850608826,0.051335243828361854,0.04322078824043274,0.056978645548224446,0.06013133842498064,0.22679127208888425,0.0035665760869565215,0.5161345108695652,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,26497.73046875,619.6530473426658,440.1700439453125,1123.887548828125,1381.4256164550775,5084.37414550782,1.0,26497.73046875,2204.613962173462,1790.5112915039062,2314.634375,2505.0515624999994,11600.927194824159,188.31976318359375,5.348144311369295,4.111715793609619,8.944824600219727,10.766169500350948,36.942315292358444,188.16050720214844,5.428951089140078,4.154690980911255,9.135239124298097,10.980656242370605,36.9073026657105,50,0.4507838487625122,0.05342574807582423,0.04582430422306061,0.0550379641354084,0.06427785772830244,0.21378193370997808
92.0,68.046875,68.0,73.7,75.0,83.17999999999996,1.0,37815.18359375,3739.3513679504395,3136.03125,4007.0375244140623,4217.090063476562,17341.606630859293,40.84975814819336,4.103341576643288,3.5722949504852295,4.298693895339966,4.654666543006897,31.389492416381785,v_baseline_replay,0.015625,0.40607750415802,0.0474169006338343,0.041885584592819214,0.04704655297100544,0.04833027180284261,0.18128247052431015,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.3329174816608429,0.05422358473879285,0.04629342630505562,0.07728650644421578,0.08664496764540672,0.18815322093665543,0.006114130434782609,0.3656589673913043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,19743.3125,441.73311197360897,307.4689178466797,839.0106262207032,1019.1550720214842,3482.7935498046972,1.0,19743.3125,1677.0323467254639,1347.575439453125,1699.2494262695313,1914.7895812988274,8661.04263916011,140.57093811035156,4.065855038504473,3.1733579635620117,6.931233596801758,8.206629705429075,25.616735000610422,140.45205688476562,4.132231547682434,3.20741069316864,7.0364978313446045,8.499121046066277,26.567033576965375,75,0.32948732376098633,0.05741492088418454,0.04904530011117458,0.0754400983452797,0.08009078465402127,0.1811302185803646
88.0,36.28125,36.0,43.0,44.849999999999994,62.169999999999895,1.0,14544.57421875,1345.906403541565,1103.1697387695312,1423.9649536132815,1594.9177978515625,6486.704183349577,15.997093200683594,2.0608031977899373,1.901165783405304,2.269558906555176,2.3852972984313965,12.34451341629028,v_baseline_replay,0.0,0.1601199507713318,0.025108734786044806,0.022913945838809013,0.02560920249670744,0.026363193336874244,0.07645341269671882,2.0,2.0,2.0,2.0,2.0,2.0,0.2088860273361206,0.07948319541173987,0.07469988614320755,0.1147497706115246,0.1574710518121717,0.19307987555861467,0.018342391304347828,0.06351902173913043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,8427.953125,171.53578439890913,104.16182327270508,354.5082031250001,462.2470153808593,1155.2897583007816,1.0,8427.953125,760.345844745636,625.5538024902344,792.4370361328125,880.976150512695,3729.818564453106,60.579532623291016,2.041180056544007,1.6745779514312744,3.5066732168197636,4.26831829547882,9.168490991592408,60.52830123901367,2.079444214142353,1.6885738372802734,3.5853297948837284,4.42287185192108,9.975209789276201,90,0.1956561654806137,0.08252194058150053,0.0766688622534275,0.11951402574777606,0.15831974670290924,0.19042571574449538
32.0,17.5,17.0,26.0,28.849999999999994,31.369999999999997,1.0,943.0276489257812,513.6936213970184,511.1917266845703,803.0550170898439,898.8961944580078,929.7477380371093,1.9859322309494019,1.3283655741252005,1.297596275806427,1.675205111503601,1.7327578365802765,1.8621571481227874,v_baseline_replay,0.0,0.02353416383266449,0.018225377905764617,0.018154713325202465,0.020473507046699525,0.02104052016511559,0.02263785138726234,2.0,2.0,2.0,2.0,2.0,2.0,0.2364877611398697,0.11894196749199182,0.11008958891034126,0.18152508288621905,0.2134128607809543,0.22393541589379307,0.039911684782608696,0.006963315217391304,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,714.1906127929688,92.39942676667883,68.61217498779297,209.0177185058594,271.163311767578,385.8056671142581,1.0,714.1906127929688,408.55846214294434,381.87998962402344,559.343701171875,603.3451812744139,661.2882238769529,6.049288749694824,1.3144377722171117,1.146354854106903,2.477504587173462,2.916892325878143,3.727747747898104,7.278314113616943,1.3356132074655445,1.1616635918617249,2.520268201828003,2.9843742728233336,3.8928166747093202,99,0.22873905301094055,0.12010680965613574,0.10870372503995895,0.18175743222236634,0.21095658987760535,0.22334388613700865
20.0,0.453125,0.0,1.0,1.0,8.029999999999951,0.484375,611.6912231445312,72.77812474966049,62.55474662780762,96.19907913208009,114.25631637573233,354.8802922058095,1.6300963163375854,1.0494302480947226,1.0398226380348206,1.0899563431739807,1.1019408106803894,1.4471384048461908,edge_length,0.0,0.012618156149983406,0.004402267521072645,0.004250998375937343,0.0046941379085183145,0.004770825617015362,0.0079414256243035,2.0,0.640625,1.0,1.0,1.8499999999999943,2.0,0.011277233250439167,0.0033011519590218086,0.003136533428914845,0.0037672308972105384,0.0038449887186288835,0.006754837031476181,0.005604619565217391,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.421875,64,0.421875,303.8149719238281,33.300933812871456,25.958675384521484,71.78212356567384,88.05385742187492,120.85332580566417,0.15625,303.8149719238281,123.83574426174164,116.99645233154297,155.01045532226564,159.24425506591794,225.82339248657195,3.1479837894439697,1.0387834244412142,1.0261934399604797,1.4285778045654298,1.5592311620712278,1.8254689192771916,3.9389984607696533,1.0509205572209042,1.0353580713272095,1.4408200263977051,1.575456517934799,1.8456911134719853,0,0.011181315407156944,0.0032268135801132303,0.0031038657762110233,0.003363234945572913,0.0034132291213609276,0.006391840719152222
86.0,34.46875,33.0,42.400000000000006,45.69999999999999,60.7999999999999,1.0,7239.6337890625,1120.603744506836,1014.2697448730469,1297.0679077148438,1336.086456298828,3542.802325439438,8.513195991516113,1.9143250645138323,1.8286552429199219,2.147782802581787,2.2886447310447693,6.172184109687805,edge_length,0.0,0.08405343443155289,0.019615563534898683,0.01858620811253786,0.020814727805554867,0.021698602661490436,0.045111499875783764,2.0,2.0,2.0,2.0,2.0,2.0,0.08374392986297607,0.016455531076644547,0.015565254259854555,0.01875941939651966,0.01988915661349892,0.044865703973918994,0.01545516304347826,0.04585597826086957,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,2793.4892578125,148.99564828512857,101.34751510620117,324.7098022460938,413.03502807617184,687.0075811767587,1.0,2793.4892578125,607.5956373214722,555.0815734863281,717.9151000976562,862.9780090332029,1625.700393676753,20.75081443786621,1.8956222863340055,1.6661285161972046,3.294979000091553,3.9206132531166076,5.857311811447149,20.749553680419922,1.9307329545324097,1.6808658242225647,3.3568657636642456,4.012851881980895,6.849559183120731,10,0.07658061385154724,0.01629385420528706,0.015446761157363653,0.017040132917463778,0.017719537019729614,0.03955246811732635
91.0,3.984375,2.0,5.0,5.849999999999994,38.70999999999979,0.984375,15952.9140625,421.00076627731323,162.16184997558594,286.56061096191405,329.70894622802723,6115.176959533652,18.011669158935547,1.266548661980778,1.0295421481132507,1.2104432582855225,1.245754212141037,14.580775976181028,edge_length,0.015625,0.17843349277973175,0.011000378595781513,0.008305978961288929,0.009671494923532009,0.010036814399063586,0.07278350893408017,3.0,1.859375,2.0,2.0,2.0,2.3699999999999974,0.1764409989118576,0.021520290203625336,0.01818190421909094,0.027243697829544545,0.029365113005042076,0.08543580587953292,0.034307065217391304,0.014945652173913044,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,4861.68603515625,87.30373883535883,48.9069766998291,112.5320640563965,133.5351669311523,1625.855524902347,0.859375,4861.68603515625,251.14474737644196,176.34710693359375,229.6827865600586,251.88401336669912,1967.1835464477422,35.373592376708984,1.2562853619331336,0.9965055584907532,1.7118333578109743,1.9354114115238188,12.493734254837058,35.37144470214844,1.2701045043662738,1.0050915479660034,1.7293413639068604,1.9614855468273162,12.487412796020532,25,0.16234685480594635,0.022665205455268733,0.019908820278942585,0.024403867311775688,0.026021495927125212,0.07718307564035023
