best4_chamfer,config,epoch,mode,ordered_support,sample_validity,seed,total_loss
0.0834783770728345,v_baseline_replay,25,pilot,1.0,0.0,31440,0.6558682471513748
0.08328859562821248,v_baseline_replay,50,pilot,1.0,0.0,31440,0.6396206021308899
0.08303457798034537,v_baseline_replay,75,pilot,1.0,0.0,31440,0.6307908892631531
0.08265448131543748,v_baseline_replay,100,pilot,1.0,0.0,31440,0.6292418017983437
0.08217276008251835,v_baseline_replay,125,pilot,1.0,0.0,31440,0.6102670580148697
0.08168385499248318,v_baseline_replay,150,pilot,1.0,0.0,31440,0.5916644111275673
0.08120712334764939,v_baseline_replay,175,pilot,1.0,0.0,31440,0.5603167191147804
0.08090062483268626,v_baseline_replay,200,pilot,1.0,0.0,31440,0.5612768903374672
0.08044938578763429,v_baseline_replay,225,pilot,1.0,0.0,31440,0.5446904003620148
0.0802593634409063,v_baseline_replay,250,pilot,1.0,0.0,31440,0.5317610986530781
0.08009731404337228,v_baseline_replay,275,pilot,1.0,0.0,31440,0.5112155489623547
0.07975445932471285,v_baseline_replay,300,pilot,1.0,0.0,31440,0.48548169806599617
0.07930173136878248,v_baseline_replay,325,pilot,1.0,0.0,31440,0.47880178689956665
0.07843717465213701,v_baseline_replay,350,pilot,1.0,0.0,31440,0.45903246104717255
0.07746587598732874,v_baseline_replay,375,pilot,1.0,0.0,31440,0.4326177127659321
0.07649080309213377,v_baseline_replay,400,pilot,1.0,0.0,31440,0.43448151275515556
0.07536966733488382,v_baseline_replay,425,pilot,1.0,0.0,31440,0.4257074147462845
0.07436642784844427,v_baseline_replay,450,pilot,1.0,0.0,31440,0.39487456902861595
0.07313066848791112,v_baseline_replay,475,pilot,1.0,0.0,31440,0.3956877626478672
0.07233340932311964,v_baseline_replay,500,pilot,1.0,0.0,31440,0.39222924411296844
0.0714891179665631,v_baseline_replay,525,pilot,1.0,0.0,31440,0.38337114825844765
0.07085855086060132,v_baseline_replay,550,pilot,1.0,0.0,31440,0.37452011182904243
0.070622763505169,v_baseline_replay,575,pilot,1.0,0.0,31440,0.36535515636205673
