bead_xy_mse,final_xy_chamfer,final_xy_chamfer_ci_high,final_xy_chamfer_ci_low,full_state_mse,input_variant,model,robot_proxy_mse,rows,split,subset,training_seed,trajectory_xy_chamfer,trajectory_xy_chamfer_ci_high,trajectory_xy_chamfer_ci_low,visible_seeds
0.016589786857366562,0.0696492235449374,0.07857240895303882,0.06165019216368478,0.03344235569238663,paper_state,last_state_repeat,0.054183974862098694,608,val,all,none,0.06531351725005308,0.07399123621682914,0.05763246345343574,64
0.024769725278019905,0.10155738617607352,0.11467117839510253,0.0891387446176795,0.031516630202531815,paper_state,last_state_repeat,0.039820510894060135,368,val,pre_engagement,none,0.09575356601966299,0.10886664376617246,0.08404267302282943,64
0.017173876985907555,0.07434560205039911,0.08392124192789158,0.06593482159440493,0.027666868641972542,paper_state,last_state_repeat,0.04058132320642471,304,val,free,none,0.06923173750180174,0.0778836852983131,0.06133600322567618,64
0.016005702316761017,0.06495284503947567,0.07397036815210294,0.05687134734026202,0.03921784833073616,paper_state,last_state_repeat,0.06778663396835327,304,val,hidden_v2,none,0.06139529699830441,0.06998778669651781,0.0537436556055357,64
0.017173876985907555,0.07434560205039911,0.08370940748907534,0.06608470916461372,0.027666868641972542,paper_state,last_state_repeat,0.04058132320642471,304,val,pre_engagement_free,none,0.06923173750180174,0.07840831684441497,0.06136065457368462,64
0.052468378096818924,0.23081336077302694,0.26627560374327003,0.19704348428931553,0.045554980635643005,paper_state,last_state_repeat,0.03704618290066719,64,val,pre_engagement_hidden_v2,none,0.22173225147950387,0.2553589975166687,0.18971235965072994,64
0.01815454661846161,0.07054792878334004,0.07718951485522554,0.06449569253579693,0.03194623813033104,paper_state,last_state_repeat,0.048920631408691406,1208,test,all,none,0.06568337961341493,0.07193504528347211,0.05982753207870804,128
0.027033880352973938,0.1039031491869626,0.11339806491339752,0.09486378497834519,0.028012169525027275,paper_state,last_state_repeat,0.029216226190328598,733,test,pre_engagement,none,0.09712199435212325,0.1062554115217992,0.08843031228269253,128
0.018480030819773674,0.07484158364684315,0.08127883791614436,0.06873032516194115,0.02278663031756878,paper_state,last_state_repeat,0.028087066486477852,604,test,free,none,0.06968767141982939,0.07583172498633356,0.06378175378072928,128
0.017829062417149544,0.06625427391983693,0.0732765304254327,0.05965346509064244,0.04110585153102875,paper_state,last_state_repeat,0.0697542056441307,604,test,hidden_v2,none,0.06167908780700046,0.0681839245044905,0.05548202799411427,128
0.018480030819773674,0.07484158364684315,0.0811921719154844,0.06883750924270345,0.02278663031756878,paper_state,last_state_repeat,0.028087066486477852,604,test,pre_engagement_free,none,0.06968767141982939,0.07590544922544014,0.0640060201204614,128
