best16_error,best32_error,best4_error,best8_error,both_supported_k16,both_supported_k32,branch_eligible,branch_separation,condition,deterministic_error,diversity,k1_error,pair_key,physical_valid_candidate_k16,sample_mean_error,visible_seed
15.837142944335938,11.496626853942871,16.120574951171875,15.837142944335938,False,False,False,0.002825853880494833,free,0.19489708542823792,37.35576606085223,16.120574951171875,test|420000|0,False,4.2015180587768555,420000
9.664910316467285,9.664910316467285,9.664910316467285,9.664910316467285,False,False,False,0.002825853880494833,hidden_slack_breakaway_pin_v2,0.19257056713104248,24.181468475249506,13.17988395690918,test|420000|0,False,4.851154804229736,420000
15.660117149353027,8.657768249511719,15.907275199890137,15.806089401245117,False,False,True,0.0030378412920981646,free,0.028249498456716537,30.935245498534172,21.95656967163086,test|420001|0,False,2.2766733169555664,420001
12.482637405395508,7.112182140350342,24.980010986328125,13.18356704711914,False,False,True,0.0030378412920981646,hidden_slack_breakaway_pin_v2,0.029579536989331245,26.96106619700309,25.570201873779297,test|420001|0,False,7.220730781555176,420001
5.844377040863037,5.844377040863037,15.26643180847168,15.26643180847168,False,False,True,0.006345379166305065,free,0.07271742075681686,31.497028870928673,33.22114562988281,test|420002|0,False,9.179492950439453,420002
12.266923904418945,11.494972229003906,12.266923904418945,12.266923904418945,False,False,True,0.006345379166305065,hidden_slack_breakaway_pin_v2,0.0761994943022728,29.80922336828324,21.928255081176758,test|420002|0,False,4.118473529815674,420002
7.072265625,7.072265625,7.072265625,7.072265625,False,False,True,0.06651298701763153,free,0.14850065112113953,30.44960913638915,30.230836868286133,test|420003|0,False,6.765061378479004,420003
7.582631587982178,7.582631587982178,21.03938865661621,21.03938865661621,False,False,True,0.06651298701763153,hidden_slack_breakaway_pin_v2,0.06920839846134186,31.62980976893056,30.725000381469727,test|420003|0,False,7.426626205444336,420003
14.011625289916992,9.139902114868164,14.011625289916992,14.011625289916992,False,False,True,0.005360656417906284,free,0.22155269980430603,28.31812691592401,22.013633728027344,test|420004|0,False,5.864349842071533,420004
16.478229522705078,14.357857704162598,18.367874145507812,18.367874145507812,False,False,True,0.005360656417906284,hidden_slack_breakaway_pin_v2,0.22220972180366516,31.234319499423428,23.783000946044922,test|420004|0,False,3.272183418273926,420004
5.195170879364014,5.195170879364014,11.672348022460938,5.195170879364014,False,False,True,0.044140081852674484,free,0.18811538815498352,25.100261292149945,17.043004989624023,test|420005|0,False,2.6216278076171875,420005
10.769158363342285,8.70958137512207,19.592884063720703,10.769158363342285,False,False,True,0.044140081852674484,hidden_slack_breakaway_pin_v2,0.1635371744632721,29.97687025224009,25.997177124023438,test|420005|0,False,5.295334815979004,420005
12.404812812805176,9.121663093566895,12.404812812805176,12.404812812805176,False,False,True,0.007207252085208893,free,0.08031296730041504,29.39800819466191,18.79126739501953,test|420006|0,False,5.325926780700684,420006
7.186540603637695,7.186540603637695,16.45526885986328,12.655194282531738,False,False,True,0.007207252085208893,hidden_slack_breakaway_pin_v2,0.08369669318199158,29.864430492924107,16.45526885986328,test|420006|0,False,3.081834077835083,420006
9.118942260742188,7.592672348022461,16.52273178100586,16.52273178100586,False,False,True,0.00483591016381979,free,0.23394066095352173,27.877058723280506,16.52273178100586,test|420007|0,False,5.934244632720947,420007
9.623605728149414,7.245753765106201,15.839214324951172,14.02963638305664,False,False,True,0.00483591016381979,hidden_slack_breakaway_pin_v2,0.2351599782705307,28.47654510890284,36.044151306152344,test|420007|0,False,2.8659627437591553,420007
6.304263114929199,6.304263114929199,13.764069557189941,13.764069557189941,False,False,True,0.003455227706581354,free,0.17980238795280457,29.160778084108905,13.764069557189941,test|420008|0,False,6.0543212890625,420008
7.3140387535095215,7.3140387535095215,7.3140387535095215,7.3140387535095215,False,False,True,0.003455227706581354,hidden_slack_breakaway_pin_v2,0.1796921193599701,30.375720670146325,23.464757919311523,test|420008|0,False,6.477277755737305,420008
8.832781791687012,8.832781791687012,13.490100860595703,13.490100860595703,False,False,True,0.0660371333360672,free,0.1224842220544815,23.873272080575266,17.72585105895996,test|420010|0,False,4.201713562011719,420010
8.77855396270752,8.77855396270752,14.457839965820312,13.630804061889648,False,False,True,0.0660371333360672,hidden_slack_breakaway_pin_v2,0.057109344750642776,27.19322750260753,42.07642364501953,test|420010|0,False,2.8218436241149902,420010
7.194605350494385,7.194605350494385,10.60855770111084,10.60855770111084,False,False,True,0.09417371451854706,free,0.15000608563423157,28.764061385585414,14.336735725402832,test|420012|0,False,6.074378967285156,420012
9.561990737915039,9.561990737915039,14.673025131225586,14.352067947387695,False,False,True,0.09417371451854706,hidden_slack_breakaway_pin_v2,0.05466613918542862,25.831629728117296,51.37861251831055,test|420012|0,False,3.05490779876709,420012
11.54081916809082,9.785323143005371,19.96366310119629,11.54081916809082,False,False,True,0.004328050650656223,free,0.04085347428917885,32.773451149463654,22.787790298461914,test|420013|0,False,4.998390197753906,420013
12.813377380371094,12.813377380371094,20.21002769470215,17.85132598876953,False,False,True,0.004328050650656223,hidden_slack_breakaway_pin_v2,0.040776897221803665,28.02866107609964,20.21002769470215,test|420013|0,False,7.033007621765137,420013
9.754252433776855,4.6708550453186035,14.824921607971191,14.824921607971191,False,False,True,0.017887134104967117,free,0.2191942185163498,29.46115567511128,21.875747680664062,test|420014|0,False,4.97921895980835,420014
13.709259986877441,9.266510009765625,13.709259986877441,13.709259986877441,False,False,True,0.017887134104967117,hidden_slack_breakaway_pin_v2,0.20409470796585083,29.569791552520567,18.492385864257812,test|420014|0,False,8.770808219909668,420014
6.964955806732178,6.964955806732178,10.469589233398438,10.469589233398438,False,False,True,0.005905004683881998,free,0.09803187102079391,24.373497834128717,19.134889602661133,test|420016|0,False,2.418369770050049,420016
12.500736236572266,9.418041229248047,28.725666046142578,22.487468719482422,False,False,True,0.005905004683881998,hidden_slack_breakaway_pin_v2,0.09533460438251495,27.259563436431268,29.529870986938477,test|420016|0,False,5.7648468017578125,420016
5.821300983428955,5.821300983428955,5.821300983428955,5.821300983428955,False,False,True,0.11555739492177963,free,0.05794462189078331,27.351957001993732,5.821300983428955,test|420017|0,False,4.970009803771973,420017
9.808391571044922,9.808391571044922,12.12944221496582,10.854653358459473,False,False,True,0.11555739492177963,hidden_slack_breakaway_pin_v2,0.13406644761562347,31.710822856233968,79.60025024414062,test|420017|0,False,7.284396648406982,420017
6.680163860321045,6.680163860321045,14.878971099853516,6.680163860321045,False,False,True,0.005180706270039082,free,0.13031797111034393,25.028681862738825,34.31601333618164,test|420019|0,False,1.684709072113037,420019
8.63098430633545,8.63098430633545,12.353265762329102,12.353265762329102,False,False,True,0.005180706270039082,hidden_slack_breakaway_pin_v2,0.13399185240268707,25.709778849155672,12.353265762329102,test|420019|0,False,8.671993255615234,420019
12.562141418457031,8.013838768005371,23.90828514099121,12.562141418457031,False,False,True,0.11091358959674835,free,0.0687602162361145,25.25277134872252,35.19953536987305,test|420020|0,False,3.983999252319336,420020
9.997520446777344,7.911545753479004,14.771851539611816,9.997520446777344,False,False,True,0.11091358959674835,hidden_slack_breakaway_pin_v2,0.08371967077255249,28.714066565998138,25.19196319580078,test|420020|0,False,2.0056581497192383,420020
12.251365661621094,11.49767780303955,16.886560440063477,12.251365661621094,False,False,True,0.04809589684009552,free,0.09700378775596619,27.666888723450324,43.33794403076172,test|420022|0,False,8.906087875366211,420022
7.972275733947754,7.972275733947754,8.753708839416504,8.753708839416504,False,False,True,0.04809589684009552,hidden_slack_breakaway_pin_v2,0.04384922981262207,31.016777670191182,44.902122497558594,test|420022|0,False,2.2300634384155273,420022
9.18095588684082,7.849775791168213,16.224882125854492,15.737369537353516,False,False,True,0.02044316753745079,free,0.06503548473119736,26.673154379090956,16.224882125854492,test|420023|0,False,5.607125282287598,420023
