balanced_accuracy,feature,paired_accuracy,paired_rows,roc_auc,roc_auc_ci_high,roc_auc_ci_low
0.5,paper_x,0.5,32,0.5,0.5,0.5
0.5,state_action_x,0.5,32,0.5,0.5,0.5
