config,elapsed_seconds,epoch,prediction_type,schedule_kind,seed,train_objective_mse,val_best4,val_k1,val_physical_validity,val_query_validity,val_z_abs_max,val_z_abs_p99
epsilon_cosine_cap_0p5,1.8903651237487793,25,epsilon,cosine_capped,31431,0.6594012603163719,5.519373056935329,6.560607269698498,0.0,0.0,328.0643615722656,188.94263839721677
epsilon_cosine_cap_0p5,2.936131238937378,50,epsilon,cosine_capped,31431,0.520030178129673,5.076106849838705,6.0485469359977575,0.0,0.0,304.3363952636719,176.56690292358397
epsilon_cosine_cap_0p5,3.982365608215332,75,epsilon,cosine_capped,31431,0.4120347462594509,4.441589883729523,5.346560153306699,0.0,0.0,275.7115173339844,158.40965667724598
epsilon_cosine_cap_0p5,5.022799015045166,100,epsilon,cosine_capped,31431,0.353386577218771,3.848918779223573,4.607748076027515,0.0,0.0,260.17071533203125,137.84793060302732
epsilon_cosine_cap_0p5,6.080132722854614,125,epsilon,cosine_capped,31431,0.3046080060303211,3.2044598074520336,3.878584480753132,0.0,0.0,245.70350646972656,117.17017578124995
epsilon_cosine_cap_0p5,7.129045486450195,150,epsilon,cosine_capped,31431,0.2632770575582981,2.6425003596380647,3.181343994888605,0.0,0.0,221.60845947265625,99.05357620239256
epsilon_cosine_cap_0p5,8.165597438812256,175,epsilon,cosine_capped,31431,0.2512981668114662,2.0933608681547877,2.5479528354663477,0.0,0.0,191.56646728515625,82.96360664367671
epsilon_cosine_cap_0p5,9.199790000915527,200,epsilon,cosine_capped,31431,0.23874740488827229,1.6481215836955052,2.0705245347583996,0.0,0.0,161.1522674560547,69.87319641113278
epsilon_cosine_cap_0p5,10.241129159927368,225,epsilon,cosine_capped,31431,0.22935722209513187,1.290885761088016,1.6619483220810984,0.0,0.0,133.76597595214844,58.77961761474609
epsilon_cosine_cap_0p5,11.285613059997559,250,epsilon,cosine_capped,31431,0.22369207441806793,1.0114771904898625,1.327086905638377,0.0,0.0,113.42464447021484,50.283391609191845
epsilon_cosine_cap_0p5,12.326573610305786,275,epsilon,cosine_capped,31431,0.2161599714308977,0.8118315444273108,1.1255333902789098,0.0,0.0,98.18474578857422,43.62426227569577
epsilon_cosine_cap_0p5,13.352919101715088,300,epsilon,cosine_capped,31431,0.21678857691586018,0.6859075061830819,1.0152627434216293,0.0,0.0,84.74591064453125,38.323641815185525
epsilon_cosine_cap_0p5,14.36135482788086,325,epsilon,cosine_capped,31431,0.21979744732379913,0.617072200366095,0.9581135301028981,0.0,0.0,80.09840393066406,34.80751590728758
epsilon_cosine_cap_0p5,15.378297567367554,350,epsilon,cosine_capped,31431,0.2264886535704136,0.5696781537696427,0.9191606407072029,0.0,0.0,77.9100570678711,32.2868115234375
epsilon_cosine_cap_0p5,16.43241834640503,375,epsilon,cosine_capped,31431,0.20649938471615314,0.5484006146297735,0.899318956861309,0.0,0.0,78.31321716308594,30.69312217712402
epsilon_cosine_cap_0p5,17.487690925598145,400,epsilon,cosine_capped,31431,0.21856103651225567,0.5368674751005921,0.8951213088105706,0.0,0.0,81.20488739013672,29.68748573303221
epsilon_cosine_cap_0p5,18.53666639328003,425,epsilon,cosine_capped,31431,0.20420910231769085,0.5307437028078472,0.8949574043645578,0.0,0.0,86.31694030761719,28.929307365417475
epsilon_cosine_cap_0p5,19.63477373123169,450,epsilon,cosine_capped,31431,0.2232778798788786,0.5286868162014905,0.8961854276119494,0.0,0.0,91.82274627685547,28.47577234268188
epsilon_cosine_cap_0p5,20.6861572265625,475,epsilon,cosine_capped,31431,0.2111073061823845,0.5264780940670594,0.8974612057209015,0.0,0.0,97.9286117553711,28.175715866088844
epsilon_cosine_cap_0p5,21.72210144996643,500,epsilon,cosine_capped,31431,0.22027805261313915,0.5251437799603331,0.898121753451871,0.0,0.0,103.53475189208984,27.922092399597155
epsilon_cosine_cap_0p5,22.759137630462646,525,epsilon,cosine_capped,31431,0.21562102809548378,0.5258280371918398,0.898165237085492,0.0,0.0,108.75700378417969,27.70795049667356
epsilon_cosine_cap_0p5,23.792893409729004,550,epsilon,cosine_capped,31431,0.1971174217760563,0.5270963531790995,0.8989838501986336,0.0,0.0,113.00138092041016,27.477723236083982
epsilon_cosine_cap_0p5,24.82511258125305,575,epsilon,cosine_capped,31431,0.2123707253485918,0.5286166226746989,0.8999309059159428,0.0,0.0,117.11782836914062,27.30240922927856
epsilon_cosine_cap_0p5,25.84637141227722,600,epsilon,cosine_capped,31431,0.20969131588935852,0.5302291322572559,0.9020281775909311,0.0,0.0,120.42804718017578,27.089929351806635
epsilon_cosine_cap_0p5,26.862781286239624,625,epsilon,cosine_capped,31431,0.20833407156169415,0.5307588482312128,0.903285503533541,0.0,0.0,122.41500091552734,26.94572898864745
epsilon_cosine_cap_0p5,27.88334608078003,650,epsilon,cosine_capped,31431,0.20787470042705536,0.5303868170754582,0.904487763841947,0.0,0.0,123.95999908447266,26.86644193649291
epsilon_cosine_cap_0p5,28.905470609664917,675,epsilon,cosine_capped,31431,0.19958221353590488,0.5289172686490358,0.9059476826120826,0.0,0.0,125.31044006347656,26.7835679244995
epsilon_cosine_cap_0p5,29.926719188690186,700,epsilon,cosine_capped,31431,0.2010012585669756,0.52851800518293,0.9075601954086154,0.0,0.0,126.1759262084961,26.778183498382564
epsilon_cosine_cap_0p5,30.96190881729126,725,epsilon,cosine_capped,31431,0.19179370999336243,0.5284111793426907,0.9076813463779057,0.0,0.0,127.0537338256836,26.783835659027083
epsilon_cosine_cap_0p5,32.043137073516846,750,epsilon,cosine_capped,31431,0.21954109705984592,0.5276684981642985,0.9079451290707962,0.0,0.0,126.9948501586914,26.751977806091286
epsilon_cosine_cap_0p5,1.0215563774108887,25,epsilon,cosine_capped,31432,0.6528364643454552,5.541968731319203,6.4095771265964885,0.0,0.0,336.942626953125,188.80902542114245
epsilon_cosine_cap_0p5,2.04998517036438,50,epsilon,cosine_capped,31432,0.5142537988722324,5.137318662568634,5.933333686753815,0.0,0.0,310.95721435546875,176.62292587280274
epsilon_cosine_cap_0p5,3.0947790145874023,75,epsilon,cosine_capped,31432,0.4079276882112026,4.583745241165161,5.284382824804268,0.0,0.0,272.70941162109375,158.36916061401362
epsilon_cosine_cap_0p5,4.125157356262207,100,epsilon,cosine_capped,31432,0.3512929789721966,3.8920328500224093,4.507254448591494,0.0,0.0,230.56326293945312,137.33007324218744
epsilon_cosine_cap_0p5,5.145588159561157,125,epsilon,cosine_capped,31432,0.30700744315981865,3.217652907558516,3.8141050245247636,0.0,0.0,214.81358337402344,116.9167403411865
epsilon_cosine_cap_0p5,6.163529634475708,150,epsilon,cosine_capped,31432,0.2792481817305088,2.661747386642531,3.1600982137754854,0.0,0.0,192.53634643554688,97.92102066040039
epsilon_cosine_cap_0p5,7.178544998168945,175,epsilon,cosine_capped,31432,0.24869666248559952,2.0865365208364,2.553952821329528,0.0,0.0,167.84368896484375,81.81152290344237
epsilon_cosine_cap_0p5,8.203463792800903,200,epsilon,cosine_capped,31432,0.23101267591118813,1.6776446513101166,2.0477792106422723,0.0,0.0,142.71563720703125,67.96770812988281
epsilon_cosine_cap_0p5,9.220921516418457,225,epsilon,cosine_capped,31432,0.21936113201081753,1.2928142933284534,1.6324202979312223,0.0,0.0,125.81463623046875,56.65027759551997
epsilon_cosine_cap_0p5,10.241077184677124,250,epsilon,cosine_capped,31432,0.215795723721385,1.0082128912794823,1.334372844766168,0.0,0.0,108.18802642822266,47.705741233825655
epsilon_cosine_cap_0p5,11.247256517410278,275,epsilon,cosine_capped,31432,0.2290873657912016,0.82239223549179,1.1339641149137534,0.0,0.0,95.02852630615234,41.269769706726066
epsilon_cosine_cap_0p5,12.256064653396606,300,epsilon,cosine_capped,31432,0.21267139725387096,0.7078118204486137,1.0173401216081543,0.0,0.0,83.21538543701172,36.52365642547607
epsilon_cosine_cap_0p5,13.258748531341553,325,epsilon,cosine_capped,31432,0.20520571805536747,0.6299760584153381,0.9535218228896459,0.0,0.0,72.70438385009766,33.17089267730712
epsilon_cosine_cap_0p5,14.280243635177612,350,epsilon,cosine_capped,31432,0.2138331774622202,0.5986755256559334,0.940220488929281,0.0,0.0,67.61509704589844,31.227970542907673
epsilon_cosine_cap_0p5,15.317358016967773,375,epsilon,cosine_capped,31432,0.1982489451766014,0.5759381105502447,0.9368939735725814,0.0,0.0,66.44075012207031,29.818035678863524
epsilon_cosine_cap_0p5,16.361008405685425,400,epsilon,cosine_capped,31432,0.2246428318321705,0.5634795827608482,0.9405107886767855,0.0,0.0,65.52349090576172,28.912993469238277
epsilon_cosine_cap_0p5,17.38618302345276,425,epsilon,cosine_capped,31432,0.2144132051616907,0.5539798263241263,0.9455907981769711,0.0,0.0,64.55855560302734,28.16860103607177
epsilon_cosine_cap_0p5,18.40472388267517,450,epsilon,cosine_capped,31432,0.2132165189832449,0.5490523813401952,0.9510350320853439,0.0,0.0,64.07588958740234,27.76639070510863
epsilon_cosine_cap_0p5,19.406777143478394,475,epsilon,cosine_capped,31432,0.201628090813756,0.5460140025791,0.9550030789538926,0.0,0.0,63.961090087890625,27.485838012695307
epsilon_cosine_cap_0p5,20.412100791931152,500,epsilon,cosine_capped,31432,0.21640260517597198,0.5431458966112604,0.9583731108144218,0.0,0.0,64.56087493896484,27.263135604858398
epsilon_cosine_cap_0p5,21.418175220489502,525,epsilon,cosine_capped,31432,0.21584843285381794,0.5405792456631567,0.9604835353937804,0.0,0.0,66.94731140136719,27.074247226715055
epsilon_cosine_cap_0p5,22.440131664276123,550,epsilon,cosine_capped,31432,0.20399256609380245,0.5391729937172404,0.9626293280253223,0.0,0.0,70.27620697021484,26.934426479339592
epsilon_cosine_cap_0p5,23.46047878265381,575,epsilon,cosine_capped,31432,0.21570497751235962,0.5387024840011316,0.9633830195548487,0.0,0.0,74.71302795410156,26.91095491409302
epsilon_cosine_cap_0p5,24.4843111038208,600,epsilon,cosine_capped,31432,0.21057600900530815,0.5380590733359841,0.9634426031626907,0.0,0.0,79.69465637207031,26.861210594177237
epsilon_cosine_cap_0p5,25.510708570480347,625,epsilon,cosine_capped,31432,0.2073120903223753,0.5374148864956463,0.9632186105146128,0.0,0.0,84.83555603027344,26.906474132537838
epsilon_cosine_cap_0p5,26.522417068481445,650,epsilon,cosine_capped,31432,0.2071641907095909,0.5361985371393316,0.9639730066353199,0.0,0.0,89.53311157226562,26.843818340301492
epsilon_cosine_cap_0p5,27.53124213218689,675,epsilon,cosine_capped,31432,0.19683915190398693,0.536431738997207,0.96424681298873,0.0,0.0,94.09605407714844,26.832884159088117
epsilon_cosine_cap_0p5,28.55109453201294,700,epsilon,cosine_capped,31432,0.20257759280502796,0.5359836312777856,0.9641237216545087,0.0,0.0,97.78929138183594,26.824220008850094
epsilon_cosine_cap_0p5,29.554754734039307,725,epsilon,cosine_capped,31432,0.21009887009859085,0.5362004557368802,0.9637899734810287,0.0,0.0,100.73664093017578,26.768558940887413
epsilon_cosine_cap_0p5,30.572627782821655,750,epsilon,cosine_capped,31432,0.1927738282829523,0.5360368837912878,0.9634447115309098,0.0,0.0,103.11611938476562,26.776964607238746
epsilon_cosine_cap_0p5,1.0111942291259766,25,epsilon,cosine_capped,31433,0.6591574549674988,5.583827233782001,6.599715106627521,0.0,0.0,330.3435974121094,187.90130889892558
epsilon_cosine_cap_0p5,2.0243072509765625,50,epsilon,cosine_capped,31433,0.5233482047915459,5.205519765031104,6.186883173736871,0.0,0.0,310.8203125,175.46930831909177
epsilon_cosine_cap_0p5,3.037742853164673,75,epsilon,cosine_capped,31433,0.4137985520064831,4.646085526428971,5.510123647895514,0.0,0.0,264.98724365234375,157.68039657592766
epsilon_cosine_cap_0p5,4.058600425720215,100,epsilon,cosine_capped,31433,0.34283968061208725,3.963575330435061,4.666355051246344,0.0,0.0,232.67030334472656,137.13078018188475
epsilon_cosine_cap_0p5,5.0640130043029785,125,epsilon,cosine_capped,31433,0.30869754031300545,3.273315193606358,3.912036851340649,0.0,0.0,214.70993041992188,116.20942527770993
epsilon_cosine_cap_0p5,6.076780080795288,150,epsilon,cosine_capped,31433,0.2738875038921833,2.645765583889157,3.1772381628260895,0.0,0.0,190.2931365966797,97.93713356018065
epsilon_cosine_cap_0p5,7.092269420623779,175,epsilon,cosine_capped,31433,0.23592089489102364,2.1061457944851294,2.543557355216905,0.0,0.0,180.11972045898438,81.79660469055172
epsilon_cosine_cap_0p5,8.101891040802002,200,epsilon,cosine_capped,31433,0.24307024292647839,1.656708752407747,2.07558130867341,0.0,0.0,164.5589141845703,68.73860153198235
epsilon_cosine_cap_0p5,9.12668228149414,225,epsilon,cosine_capped,31433,0.22149165719747543,1.2905130906432283,1.6885850669122209,0.0,0.0,144.89468383789062,58.354762687683106
epsilon_cosine_cap_0p5,10.141941547393799,250,epsilon,cosine_capped,31433,0.2185703795403242,1.008069975119011,1.392167450166216,0.0,0.0,123.65383911132812,50.128783950805655
epsilon_cosine_cap_0p5,11.142991304397583,275,epsilon,cosine_capped,31433,0.21872018091380596,0.8189661356748319,1.226410911948073,0.0,0.0,103.3251724243164,43.50299934387204
epsilon_cosine_cap_0p5,12.159846067428589,300,epsilon,cosine_capped,31433,0.21230225265026093,0.7003760156678218,1.142153526930248,0.0,0.0,86.59050750732422,38.79208457946774
epsilon_cosine_cap_0p5,13.17024040222168,325,epsilon,cosine_capped,31433,0.21279403753578663,0.6253925842397353,1.1004971131390215,0.0,0.0,75.2816390991211,35.58555652618408
epsilon_cosine_cap_0p5,14.183609008789062,350,epsilon,cosine_capped,31433,0.22770884074270725,0.5742266110929788,1.069349720489745,0.0,0.0,69.9556884765625,33.405531539916964
epsilon_cosine_cap_0p5,15.19287657737732,375,epsilon,cosine_capped,31433,0.21569112315773964,0.5476973243788177,1.0621010439068663,0.0,0.0,66.01466369628906,32.041906280517566
epsilon_cosine_cap_0p5,16.20558190345764,400,epsilon,cosine_capped,31433,0.22038336656987667,0.53574638857561,1.0635714425760157,0.0,0.0,67.09494018554688,31.103632736206038
epsilon_cosine_cap_0p5,17.216919660568237,425,epsilon,cosine_capped,31433,0.20697286166250706,0.5298247781454348,1.0646168433275878,0.0,0.0,69.47807312011719,30.514667339324948
epsilon_cosine_cap_0p5,18.223856210708618,450,epsilon,cosine_capped,31433,0.21293213218450546,0.5257264350851377,1.0656312816575462,0.0,0.0,72.01714324951172,30.05409934997558
epsilon_cosine_cap_0p5,19.241942644119263,475,epsilon,cosine_capped,31433,0.19995896704494953,0.5260124216769256,1.06598602425234,0.0,0.0,74.26063537597656,29.72266378402706
epsilon_cosine_cap_0p5,20.258631467819214,500,epsilon,cosine_capped,31433,0.2228431235998869,0.5269655192307398,1.065707046027277,0.0,0.0,76.18416595458984,29.48961910247801
epsilon_cosine_cap_0p5,21.27733874320984,525,epsilon,cosine_capped,31433,0.20048627257347107,0.5276380229522201,1.0673138525556116,0.0,0.0,77.74142456054688,29.335241909027097
epsilon_cosine_cap_0p5,22.283729314804077,550,epsilon,cosine_capped,31433,0.225248409435153,0.5276042420197936,1.0686624165551335,0.0,0.0,78.39350891113281,29.163081645965526
