current_abs_max,current_rms,epsilon_abs_max,epsilon_rms,pred_x0_abs_max,pred_x0_raw_xy_abs_max,pred_x0_rms,reverse_mode,timestep,weights
3.501354455947876,1.0008952617645264,3.5201497077941895,0.9744825959205627,3730.85595703125,376.6411437988281,691.5916748046875,stochastic_ddpm,99,ema
294.7140197753906,50.06827926635742,45.916534423828125,7.60478401184082,1782.877685546875,168.85382080078125,328.2457580566406,stochastic_ddpm,90,ema
577.8418579101562,114.27045440673828,88.85905456542969,11.632740020751953,1374.1605224609375,155.5767822265625,297.23333740234375,stochastic_ddpm,75,ema
925.6749877929688,201.5106964111328,133.56324768066406,15.89245891571045,1281.3294677734375,151.40481567382812,283.00616455078125,stochastic_ddpm,50,ema
1159.8919677734375,256.9810485839844,151.300048828125,17.589162826538086,1239.39306640625,149.5381317138672,277.2314453125,stochastic_ddpm,25,ema
1214.9461669921875,272.0252990722656,149.75833129882812,17.333967208862305,1223.1209716796875,148.66322326660156,275.06829833984375,stochastic_ddpm,10,ema
1215.5689697265625,274.0940856933594,144.292724609375,16.619592666625977,1214.274658203125,148.2793731689453,273.9730529785156,stochastic_ddpm,0,ema
3.501354455947876,1.0008952617645264,3.5201497077941895,0.9744825959205627,3730.85595703125,376.6411437988281,691.5916748046875,posterior_mean,99,ema
296.151123046875,49.92985534667969,44.88459014892578,7.524053573608398,1800.4661865234375,167.16835021972656,327.3247985839844,posterior_mean,90,ema
585.01513671875,113.96269226074219,86.49430847167969,11.553108215332031,1388.60693359375,157.37725830078125,296.4112243652344,posterior_mean,75,ema
935.1473388671875,200.87489318847656,130.26710510253906,15.801533699035645,1295.233154296875,152.7902374267578,282.0723876953125,posterior_mean,50,ema
1171.438720703125,256.0937194824219,149.23373413085938,17.48950958251953,1252.662109375,150.64306640625,276.24072265625,posterior_mean,25,ema
1227.45654296875,271.0567626953125,148.10113525390625,17.23179054260254,1236.0418701171875,149.63006591796875,274.07305908203125,posterior_mean,10,ema
1228.616943359375,273.0919494628906,142.6278076171875,16.51781463623047,1227.3536376953125,149.1034698486328,272.9690856933594,posterior_mean,0,ema
3.501354455947876,1.0008952617645264,3.600111961364746,0.9811539053916931,3688.57373046875,386.87457275390625,708.1854248046875,stochastic_ddpm,99,raw
306.04620361328125,50.00874328613281,48.18659973144531,7.769217491149902,1847.8585205078125,160.9569854736328,327.0177917480469,stochastic_ddpm,90,raw
597.5009155273438,113.67755126953125,93.771484375,11.810112953186035,1449.9393310546875,147.22784423828125,295.1701354980469,stochastic_ddpm,75,raw
972.5828857421875,199.9359130859375,140.67428588867188,16.00504493713379,1336.6298828125,140.17015075683594,280.44183349609375,stochastic_ddpm,50,raw
1209.334228515625,254.58229064941406,160.10299682617188,17.779888153076172,1288.425048828125,137.8175506591797,274.4722900390625,stochastic_ddpm,25,raw
1262.7391357421875,269.2958679199219,159.66693115234375,17.55429458618164,1269.814453125,136.84942626953125,272.2362976074219,stochastic_ddpm,10,raw
1261.289306640625,271.23223876953125,153.78720092773438,16.842300415039062,1259.782470703125,136.4392852783203,271.1031494140625,stochastic_ddpm,0,raw
3.501354455947876,1.0008952617645264,3.600111961364746,0.9811539053916931,3688.57373046875,386.87457275390625,708.1854248046875,posterior_mean,99,raw
300.0760803222656,49.89902114868164,46.840003967285156,7.696134567260742,1814.6917724609375,158.047119140625,326.2947692871094,posterior_mean,90,raw
586.8336181640625,113.4046401977539,91.32392883300781,11.745307922363281,1461.2174072265625,145.35299682617188,294.4155578613281,posterior_mean,75,raw
980.6648559570312,199.33847045898438,137.5936279296875,15.930734634399414,1348.6307373046875,139.9041748046875,279.5425109863281,posterior_mean,50,raw
1218.9764404296875,253.7227783203125,157.53163146972656,17.696565628051758,1299.1539306640625,137.25242614746094,273.5002136230469,posterior_mean,25,raw
1272.5003662109375,268.34136962890625,157.0071258544922,17.4766902923584,1279.6639404296875,136.2842559814453,271.24969482421875,posterior_mean,10,raw
1271.14111328125,270.2351379394531,151.0594482421875,16.75813865661621,1269.633056640625,135.77853393554688,270.1034240722656,posterior_mean,0,raw
