index,condition,mode,status,paper_x,state_action_x,y_state,y_action,canonical_paper_x,canonical_state_action_x
501,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0010035904124379158,0.0010035904124379158,0.0,0.0,0.0,0.0
175,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0873984694480896,0.0873984694480896,0.0,0.0,0.0,0.0
59,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0008078600512817502,0.0008078600512817502,0.0,0.0,0.0,0.0
207,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0005073166103102267,0.0005073166103102267,0.0,0.0,0.0,0.0
518,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0023398061748594046,0.0023398061748594046,0.0,0.0,0.0,0.0
181,hidden_pin,canonicalized_free_input_exact_targets,ok,0.21289771795272827,0.21289771795272827,0.0,0.0,0.0,0.0
326,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.376528263092041,0.376528263092041,0.0,0.0,0.0,0.0
681,hidden_pin,canonicalized_free_input_exact_targets,ok,0.10145696997642517,0.10145696997642517,0.0,0.0,0.0,0.0
505,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0018384093418717384,0.0018384093418717384,0.0,0.0,0.0,0.0
648,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
21,hidden_pin,canonicalized_free_input_exact_targets,ok,0.0015519148437306285,0.0015519148437306285,0.0,0.0,0.0,0.0
839,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.24626755714416504,0.24626755714416504,0.0,0.0,0.0,0.0
114,hidden_high_friction,canonicalized_free_input_exact_targets,ok,1.9168559312820435,1.9168559312820435,0.0,0.0,0.0,0.0
565,hidden_pin,canonicalized_free_input_exact_targets,ok,0.8147821426391602,0.8147821426391602,0.0,0.0,0.0,0.0
243,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0005990274366922677,0.0005990274366922677,0.0,0.0,0.0,0.0
742,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.023372359573841095,0.028124988079071045,0.0,0.0,0.0,0.0
495,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0007270095520652831,0.0007270095520652831,0.0,0.0,0.0,0.0
522,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.021459009498357773,0.021459009498357773,0.0,0.0,0.0,0.0
730,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0021332446485757828,0.0021332446485757828,0.0,0.0,0.0,0.0
316,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
386,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.010156065225601196,0.010156065225601196,0.0,0.0,0.0,0.0
473,hidden_pin,canonicalized_free_input_exact_targets,ok,0.010976672172546387,0.010976672172546387,0.0,0.0,0.0,0.0
99,hidden_breakaway_pin,canonicalized_free_input_exact_targets,ok,0.0010792246321216226,0.0010792246321216226,0.0,0.0,0.0,0.0
380,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
117,hidden_pin,canonicalized_free_input_exact_targets,ok,0.000650336965918541,0.000650336965918541,0.0,0.0,0.0,0.0
490,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.0038285553455352783,0.0038285553455352783,0.0,0.0,0.0,0.0
616,free,raw_exact,ok,0.0,0.0,0.0,0.0,,
942,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.013938788324594498,0.013938788324594498,0.0,0.0,0.0,0.0
110,hidden_high_friction,canonicalized_free_input_exact_targets,ok,0.07631206512451172,0.07631206512451172,0.0,0.0,0.0,0.0
