visible_seed,condition_a,condition_b,file_a,file_b,initial_chamfer,initial_ordered_l2,action_distance,rgb_mean_abs_diff,rgb_max_abs_diff,depth_mean_abs_diff,depth_max_abs_diff,final_chamfer,final_ordered_l2,trajectory_chamfer,contact_diff,success_a,success_b,success_diff,final_fraction_a,final_fraction_b,final_curve_a,final_curve_b,branch_a,branch_b,visible_pass,action_pass,contact_pass,future_pass,ccda_state,ccda_success,failure_reason
11,free,hidden_pin,000011-7.pkl,000011-1.pkl,0.0011074215872213244,0.0005537107936106622,2.6769283705378896e-06,0.011694878339767456,171.0,3.6230951536708744e-06,0.02442634105682373,0.32715725898742676,0.20369522273540497,0.19414515793323517,True,True,False,True,1.0,0.0,0.0017288384260609746,0.011593622155487537,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
11,free,hidden_high_friction,000011-7.pkl,000011-7.pkl,0.0017373828450217843,0.0008686914225108922,6.260950187850115e-06,0.018249783664941788,149.0,5.144464466866339e-06,0.0340120792388916,0.018765244632959366,0.024972891435027122,0.015076734258660249,True,True,True,False,1.0,1.0,0.0017288384260609746,0.005727626383304596,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
11,hidden_pin,hidden_high_friction,000011-1.pkl,000011-7.pkl,0.001023590681143105,0.0005117953405715525,6.047829640908288e-06,0.011767578311264515,171.0,3.02178887068294e-06,0.03557521104812622,0.34338539838790894,0.21941310167312622,0.17922280728816986,True,False,True,True,0.0,1.0,0.011593622155487537,0.005727626383304596,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
12,free,hidden_pin,000012-6.pkl,000012-1.pkl,0.0001489051792304963,7.445258961524814e-05,1.2537518927416244e-05,0.0013997395290061831,99.0,3.7284829090822313e-07,0.03595280647277832,0.3678068518638611,0.21773605048656464,0.1539619266986847,True,True,False,True,1.0,0.0,0.0054956055246293545,0.010875234380364418,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
12,free,hidden_high_friction,000012-6.pkl,000012-7.pkl,0.00042560556903481483,0.00021280278451740742,2.012623915472975e-05,0.0026486546266824007,149.0,5.69276721762435e-07,0.012006878852844238,0.01405637152493,0.010759088210761547,0.015592679070929686,True,True,True,False,1.0,1.0,0.0054956055246293545,0.003184305736795068,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
12,hidden_pin,hidden_high_friction,000012-1.pkl,000012-7.pkl,0.000530158809851855,0.0002650794049259275,1.4737231789955071e-05,0.003560112789273262,153.0,7.986482160049491e-07,0.03595280647277832,0.37572556734085083,0.22237086296081543,0.1671326905488968,True,False,True,True,0.0,1.0,0.010875234380364418,0.003184305736795068,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
13,free,hidden_pin,000013-4.pkl,000013-20.pkl,8.656510181026533e-05,4.3282550905132666e-05,1.0388179976257266e-07,0.0006673177122138441,93.0,2.1508671466108353e-07,0.010255575180053711,0.10044006258249283,0.14672671258449554,0.10207632929086685,True,True,False,True,1.0,0.5,0.0020008254796266556,0.010930713266134262,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
13,free,hidden_high_friction,000013-4.pkl,000013-5.pkl,0.00019990403961855918,9.995201980927959e-05,5.127424617069653e-08,0.0019585504196584225,93.0,6.28106533895334e-07,0.014905750751495361,0.01725875958800316,0.01956360787153244,0.016460273880511522,True,True,True,False,1.0,1.0,0.0020008254796266556,0.005749023053795099,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
13,hidden_pin,hidden_high_friction,000013-20.pkl,000013-5.pkl,0.00020133859652560204,0.00010066929826280102,5.3235772292601405e-08,0.0016384548507630825,93.0,5.88327736750216e-07,0.014929652214050293,0.10976925492286682,0.15453632175922394,0.10065485686063766,True,False,True,True,0.5,1.0,0.010930713266134262,0.005749023053795099,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
14,free,hidden_pin,000014-8.pkl,000014-5.pkl,6.198840856086463e-05,3.0994204280432314e-05,3.8330899297324756e-08,0.0006792534841224551,57.0,1.6213171250001324e-07,0.006025791168212891,0.43826770782470703,0.3212449848651886,0.3950501918792725,True,True,False,True,1.0,0.0,0.0035294124390929937,0.012154418043792248,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
