alpha_bar,beta,sqrt_alpha_bar,sqrt_one_minus_alpha_bar,timestep,x0_error_amplification
0.9993687272071838,0.00063128158217296,0.9996843137746955,0.02512514264270279,0,1.000315785914568
0.9982525110244751,0.0011169370263814926,0.9991258734636368,0.04180297807004786,1,1.0008748913020669
0.9966524243354797,0.0016028991667553782,0.9983248090353558,0.05785823765480819,2,1.00167800193833
0.9945700168609619,0.002089404733851552,0.9972813128004364,0.07368841930071567,3,1.0027260986089566
0.992007315158844,0.002576691098511219,0.9959956401304395,0.08940181676652889,4,1.0040204592351791
0.9889668226242065,0.0030649974942207336,0.9944681104108902,0.10503893266686147,5,1.0055626616190076
0.9854514598846436,0.003554565366357565,0.9926990782128507,0.1206173292498074,6,1.007354617272631
0.9814646244049072,0.004045638255774975,0.9906889645115198,0.13614468625360585,7,1.0093985456808547
0.9770103096961975,0.004538462497293949,0.9884383186098147,0.15162351500938925,8,1.0116969174226735
0.9720926880836487,0.005033288151025772,0.9859476091982011,0.16705481710011033,9,1.0142526749603122
0.9667166471481323,0.005530369933694601,0.9832174973769193,0.18243725730197677,10,1.0170689625315394
0.9608874320983887,0.006029965355992317,0.9802486582997136,0.1977689760847523,11,1.0201493177603997
0.9546105861663818,0.006532339379191399,0.9770417525195031,0.21304791440804616,12,1.023497713809358
0.9478922486305237,0.007037760224193335,0.9735975804358409,0.22827122326188273,13,1.0271184112355125
0.9407390356063843,0.0075465040281414986,0.9699170251142024,0.24343575003194523,14,1.0310160293167918
0.933157742023468,0.008058853447437286,0.9660009016680409,0.2585386972515565,15,1.0351957211150127
0.9251558184623718,0.008575097657740116,0.9618502058337212,0.2735766465501545,16,1.0396629266541675
0.9167410135269165,0.00909553561359644,0.95746593335059,0.2885463333211557,17,1.0444235822579762
0.907921552658081,0.00962047465145588,0.9528491762383389,0.30344430682073925,18,1.0494840368627942
0.8987058997154236,0.01015023048967123,0.9480010019590821,0.3182673409016018,19,1.0548512057829684
0.88910311460495,0.010685132816433907,0.9429226450801518,0.3330118397220286,20,1.0605323832423141
0.8791224360466003,0.011225518770515919,0.9376152921356393,0.34767450863329,21,1.0665355059667008
0.8687736392021179,0.011771740391850471,0.9320802750847793,0.3622517919871233,22,1.0728689649709011
0.858066737651825,0.01232416182756424,0.9263189178958967,0.3767403115518368,23,1.0795418086369946
0.8470121026039124,0.01288316398859024,0.9203326043360153,0.39113667355041976,24,1.086563700219511
0.8356205224990845,0.013449138961732388,0.9141228158727275,0.4054373903587526,25,1.0939449083165966
0.8239030241966248,0.01402250025421381,0.9076910400552739,0.41963910185226455,26,1.1016964538276206
0.8118710517883301,0.014603676274418831,0.9010388736277309,0.4337383407213039,27,1.1098300298341572
0.7995361685752869,0.01519311685115099,0.8941678637567372,0.44773187447926144,28,1.1183582418167233
0.7869104743003845,0.015791291370987892,0.8870797451753616,0.4616162103951891,29,1.127294367207444
0.774006187915802,0.01639869250357151,0.8797762146795071,0.4753880647262802,30,1.1366526888480262
0.7608358263969421,0.017015838995575905,0.8722590362942318,0.4890441427959831,31,1.1464484268898745
0.7474122047424316,0.017643271014094353,0.8645300484901792,0.5025811330099533,32,1.1566977940748344
0.7337483167648315,0.018281564116477966,0.8565911024315112,0.5159958170713872,33,1.1674181498750218
0.7198575139045715,0.018931318074464798,0.8484441725326255,0.5292848817937543,34,1.1786279314229677
0.7057532072067261,0.019593169912695885,0.8400911898161568,0.5424451979631435,35,1.1903469672367797
0.6914491653442383,0.02026779018342495,0.8315342237961335,0.5554735229115441,36,1.2025963230169696
0.676959216594696,0.020955890417099,0.8227753135544941,0.5683667683857879,37,1.2153986435007058
0.6622974276542664,0.021658223122358322,0.8138165810883103,0.5811218222935133,38,1.2287781095129668
0.6474781632423401,0.02237558551132679,0.8046602781561546,0.5937354939345129,39,1.2427604880552303
0.6325156688690186,0.02310882695019245,0.795308536901886,0.6062048590460006,40,1.2573736526147286
0.6174246072769165,0.023858845233917236,0.785763709569815,0.6185267922435401,41,1.2726472192861562
0.6022195219993591,0.024626603350043297,0.7760280420186884,0.6306984049453755,42,1.2886132276852929
0.5869152545928955,0.02541312389075756,0.7661039450315443,0.6427166914022885,43,1.305305900701014
0.5715266466140747,0.026219496503472328,0.7559938138728879,0.6545787602618384,44,1.3227621465274835
0.5560685992240906,0.027046892791986465,0.7457000732359429,0.6662817728078034,45,1.341021726953211
0.5405561923980713,0.027896560728549957,0.7352252664306846,0.6778228438183009,46,1.3601273591354164
0.5250044465065002,0.02876984514296055,0.7245719056839702,0.6891992117620999,47,1.3801252741866046
0.5094285011291504,0.029668182134628296,0.7137426014531782,0.7004080945212224,48,1.4010653111696043
0.49384352564811707,0.03059312514960766,0.7027400128412478,0.7114467473759951,49,1.423001368538701
0.47826457023620605,0.03154633939266205,0.6915667503836531,0.7223125568365775,50,1.4459920165988904
0.4627067744731903,0.03252962976694107,0.6802255320650573,0.7330028823454992,51,1.4701006546522268
0.44718530774116516,0.03354493901133537,0.6687191546091417,0.7435150921526978,52,1.4953960763760208
0.4317152202129364,0.03459437936544418,0.657050393967568,0.7538466553531054,53,1.5219532766148223
0.41631150245666504,0.03568023070693016,0.6452220567034771,0.7639950899994941,54,1.5498540225192072
0.4009891748428345,0.036804985255002975,0.6332370605411803,0.7739578962431778,55,1.5791874201825378
0.38576310873031616,0.037971340119838715,0.6210983084265455,0.7837326656900833,56,1.6100510763478686
0.37064802646636963,0.03918224945664406,0.6088086944733704,0.7933170699875494,57,1.6425521006479984
0.3556586802005768,0.040440935641527176,0.5963712603744221,0.8027087390825038,58,1.6768078317056494
0.3408096134662628,0.04175093397498131,0.583789014513174,0.8119054049171844,59,1.7129476148740268
0.326115220785141,0.04311612620949745,0.5710649882326363,0.8209048539354966,60,1.7511141824590852
0.311589777469635,0.04454077035188675,0.5582022728990227,0.8297049008716081,61,1.7914652959159436
0.29724743962287903,0.04602958634495735,0.5452040348556484,0.8383033820623181,62,1.8341757141705053
0.2831021249294281,0.04758777469396591,0.5320734206192113,0.8466982195980879,63,1.8794398690996998
0.2691675126552582,0.04922111704945564,0.5188135625205438,0.8548874120869612,64,1.92747466959367
0.25545719265937805,0.050936028361320496,0.5054277323805828,0.8628689398400096,65,1.9785222217426892
0.24198445677757263,0.05273967608809471,0.4919191567499406,0.8706408807438503,66,2.0328543547823945
0.2287624180316925,0.05464007705450058,0.47829114358483843,0.8782013333901899,67,2.0907767442752614
0.21580387651920319,0.05664622411131859,0.4645469583574982,0.8855484873685895,68,2.1526349102267437
0.20312146842479706,0.05876825749874115,0.4506899914850529,0.8926805316434334,69,2.218820073427712
0.19072747230529785,0.061017632484436035,0.4367235650904332,0.8995957579350305,70,2.2897779738378166
0.1786339432001114,0.06340736150741577,0.42265108919782923,0.9062924786181824,71,2.366017799452381
0.16685262322425842,0.06595227122306824,0.4084759763122654,0.912769070891286,72,2.448124389169794
0.15539497137069702,0.06866934150457382,0.39420168869589717,0.9190239543283423,73,2.5367724915339966
0.1442720890045166,0.07157810777425766,0.3798316587707199,0.9250556258925641,74,2.632745262036296
0.1334948092699051,0.07470115274190903,0.3653694147980987,0.9308626057212176,75,2.7369559670247576
0.12307357043027878,0.07806473970413208,0.3508184294336299,0.9364435004685127,76,2.85047738687624
0.11301850527524948,0.08169960230588913,0.3361822500895154,0.9417969498383133,77,2.974577032944867
0.10333938151597977,0.08564190566539764,0.3214644327386465,0.9469216538257113,78,3.1107640477695058
0.09404560923576355,0.08993450552225113,0.30666856577706747,0.951816363992675,79,3.2608493715881837
0.08514619618654251,0.09462862461805344,0.29179821141765505,0.9564799024618643,80,3.427025803693791
0.07664980739355087,0.0997859314084053,0.27685701615373753,0.9609111262788298,81,3.6119727572470266
0.06856467574834824,0.10548136383295059,0.26184857408118195,0.965108970143606,82,3.8190011288355
0.06089867278933525,0.1118069440126419,0.24677656450590127,0.9690724055562953,83,4.052248648497927
0.05365923047065735,0.1188768520951271,0.23164462106998587,0.9728004777596189,84,4.316957567937112
0.046853382140398026,0.12683458626270294,0.21645642088050432,0.9762922809587311,85,4.619867573954086
0.04048774391412735,0.13586296141147614,0.20121566518073922,0.9795469647167881,86,4.969791984643758
