bin,epsilon_mae,epsilon_mse,pred_x0_abs_max,pred_x0_abs_p99,pred_x0_mae,pred_x0_mse,rows,true_x0_abs_max,weights
0-9,1.0235651731491089,9.466878890991211,248.0254364013672,3.7593019008636475,0.08460922539234161,0.07732386142015457,64,255.1311492919922,ema
10-24,0.768909752368927,8.882615089416504,235.2924346923828,3.717155694961548,0.20892222225666046,0.6345899701118469,64,255.1311492919922,ema
25-49,0.5339937806129456,6.217177867889404,204.9754180908203,5.008193492889404,0.3718404769897461,2.986504554748535,64,255.1311492919922,ema
50-74,0.42267921566963196,2.5939972400665283,178.57403564453125,6.830958843231201,0.7091597318649292,7.2604193687438965,64,255.1311492919922,ema
75-89,0.3499838709831238,1.0305598974227905,154.55230712890625,7.97831392288208,1.284757137298584,12.13205623626709,64,255.1311492919922,ema
90-99,0.2934987246990204,0.28512042760849,3432.44384765625,1123.1856689453125,56.53498840332031,44796.74609375,64,255.1311492919922,ema
0-9,1.01631760597229,10.09139347076416,250.92156982421875,3.7297894954681396,0.08834969252347946,0.05157629773020744,64,255.1311492919922,raw
10-24,0.792920708656311,9.126768112182617,231.33282470703125,4.1361260414123535,0.2425265908241272,1.0519312620162964,64,255.1311492919922,raw
25-49,0.5651178956031799,6.824525833129883,211.0867462158203,5.263680934906006,0.385733962059021,3.1477792263031006,64,255.1311492919922,raw
50-74,0.45565250515937805,3.3319079875946045,175.10755920410156,6.868462562561035,0.7046669125556946,7.0197954177856445,64,255.1311492919922,raw
75-89,0.3408697843551636,0.6398842334747314,144.6241912841797,9.134920120239258,1.4818758964538574,14.696920394897461,64,255.1311492919922,raw
90-99,0.30811432003974915,0.3079652786254883,2441.819580078125,908.537841796875,33.181575775146484,26967.470703125,64,255.1311492919922,raw
