condition,visible_seed,seed_cohort,baseline_selector,selector,initial_fraction,baseline_delta,selector_delta,paired_delta_gain,baseline_final,selector_final,paired_final_gain,baseline_success,selector_success,paired_success_gain,baseline_pull,selector_pull,baseline_future_match,selector_future_match
free,312502,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048354612896218896,0.048354612896218896,0.0,0.0
free,312502,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048354612896218896,0.12942801252938807,0.0,1.0
free,312502,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.048354612896218896,0.15127715584822,0.0,0.25
free,312502,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.048354612896218896,0.23698766180314124,0.0,0.0
free,312503,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554489118047059,0.07554489118047059,0.0,0.0
free,312503,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554489118047059,0.16562085272744298,0.0,1.0
free,312503,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.07554489118047059,0.2443382889032364,0.0,0.4375
free,312503,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554489118047059,0.27520973864011467,0.0,0.125
hidden_breakaway_pin,312000,phase312_seed_block,ddpm_mean,ddpm_mean,0.20833333333333334,0.08333333333333334,0.08333333333333334,0.0,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,0.0,0.06195720029063523,0.06195720029063523,0.3125,0.3125
hidden_breakaway_pin,312000,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.20833333333333334,0.08333333333333334,-0.20833333333333334,-0.2916666666666667,0.2916666666666667,0.0,-0.2916666666666667,0.0,0.0,0.0,0.06195720029063523,0.09307328751310706,0.3125,1.0
hidden_breakaway_pin,312000,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.20833333333333334,0.08333333333333334,-0.20833333333333334,-0.2916666666666667,0.2916666666666667,0.0,-0.2916666666666667,0.0,0.0,0.0,0.06195720029063523,0.13022008491680026,0.3125,0.1875
hidden_breakaway_pin,312000,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.20833333333333334,0.08333333333333334,-0.20833333333333334,-0.2916666666666667,0.2916666666666667,0.0,-0.2916666666666667,0.0,0.0,0.0,0.06195720029063523,0.23367562144994736,0.3125,0.125
hidden_breakaway_pin,312001,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574985211715102,0.20574985211715102,0.4375,0.4375
hidden_breakaway_pin,312001,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574985211715102,0.056796794408001006,0.4375,1.0
hidden_breakaway_pin,312001,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574985211715102,0.29056376963853836,0.4375,0.5625
