selector,uses_condition_label,condition,visible_seed,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,model_x_ood_l2,model_x_ood_abs,future_std_mean,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,selected_train_index,selected_window_idx,selected_condition,selected_context_l2,selected_proxy_distance,selected_score,score_proxy,score_ood,score_clip,score_action_mae,score_pull_diff,score_small_pull,action_ood,clip_frac,pose0_x,pose0_y,pose1_x,pose1_y,pull_len,source_pull_len,action_mae_to_source,action_l2_to_source,scope
ddpm_mean,0,free,312500,0,0,0.0,0.0,0.0,0,0.0,nan,nan,0.040080588310956955,0.0444420650601387,0.02295977622270584,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3314099907875061,0.0,0.6627600193023682,0.011648880317807198,0.49070605635643005,-0.025439366698265076,0.17600597441196442,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,1,0.0,0.0,0.0,0,0.0,nan,nan,0.040032483637332916,0.04230892285704613,0.019149858504533768,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.309329628944397,0.0,0.6470286846160889,0.020452337339520454,0.5061770677566528,0.02549249306321144,0.1409417688846588,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,2,0.0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,nan,nan,0.040040355175733566,0.04064582288265228,0.017914406955242157,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3922260105609894,0.0,0.6187373399734497,0.015146544203162193,0.4920280873775482,-0.02134346216917038,0.13185884058475494,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,3,0.16666666666666666,0.16666666666666666,0.0,0,0.0,nan,nan,0.04011984542012215,0.042979322373867035,0.017853684723377228,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4498157203197479,0.0,0.6037064790725708,0.024324646219611168,0.4907890856266022,-0.019351132214069366,0.12106986343860626,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,4,0.16666666666666666,0.16666666666666666,0.0,0,0.0,nan,nan,0.03995129466056824,0.04220971837639809,0.01872943714261055,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20539170503616333,0.0,0.590805172920227,0.017399581149220467,0.48007631301879883,0.016377441585063934,0.11073357611894608,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,5,0.16666666666666666,0.16666666666666666,0.0,0,0.0,nan,nan,0.040752898901700974,0.04353518411517143,0.018739663064479828,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22040262818336487,0.0,0.5527107119560242,0.007807541638612747,0.4870765209197998,0.0022495612502098083,0.06586910039186478,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,6,0.16666666666666666,0.16666666666666666,0.0,0,0.0,nan,nan,0.03987652063369751,0.045799728482961655,0.019385281950235367,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18022742867469788,0.0,0.5593358874320984,0.016690833494067192,0.4644465446472168,0.016329742968082428,0.09489002823829651,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,7,0.16666666666666666,0.375,0.20833333333333334,0,0.20833333333333334,nan,nan,0.04001928120851517,0.040085189044475555,0.018308626487851143,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15392059087753296,0.0,0.5674973130226135,0.011982535943388939,0.47271716594696045,0.01948494464159012,0.09507661312818527,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,8,0.375,0.5833333333333334,0.20833333333333337,0,0.20833333333333337,nan,nan,0.039925865828990936,0.044616490602493286,0.02331223338842392,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24792398512363434,0.0,0.556942343711853,-0.0018307454884052277,0.5104411840438843,-0.029656074941158295,0.05419046804308891,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
ddpm_mean,0,free,312500,0,9,0.5833333333333334,0.5833333333333334,0.0,0,0.0,nan,nan,0.0405706912279129,0.04341139271855354,0.018422232940793037,hidden_high_friction,0,-1,-1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14939795434474945,0.0,0.5307570695877075,0.002918807789683342,0.494473397731781,-0.022099269554018974,0.044072769582271576,nan,nan,nan,phase3_12b_proxy_score_no_phase4_no_cps
