diverged,eligible,final_fraction_abs_diff,future_final_xy_chamfer,normalized_prefix_mae,split,success_diff,visible_seed,window_t
True,True,0.9583333134651184,0.0796617716550827,0.0,train,True,400000,0
True,True,0.9583333134651184,0.0796617716550827,0.02469916674890154,train,True,400000,1
False,False,0.9583333134651184,0.0796617716550827,0.06458094761054324,train,True,400000,2
True,True,0.5833333730697632,0.01704714633524418,0.0,train,True,400001,0
True,True,0.5833333730697632,0.01704714633524418,0.004010199819905739,train,True,400001,1
True,True,0.5833333730697632,0.01704714633524418,0.01492559902427037,train,True,400001,2
True,True,0.4166666865348816,0.02454889565706253,0.0,train,True,400002,0
False,False,0.4166666865348816,0.02454889565706253,0.05218560769491211,train,True,400002,1
False,False,0.4166666865348816,0.02454889565706253,0.06708836551160305,train,True,400002,2
False,False,0.4166666865348816,0.02454889565706253,0.07973715244440913,train,True,400002,3
True,True,1.0,0.0029643394518643618,0.0,train,False,400003,0
True,True,1.0,0.0038668857887387276,0.0008114999797082289,train,False,400003,1
True,True,1.0,0.004404804203659296,0.00120115778720305,train,False,400003,2
True,True,1.0,0.008213350549340248,0.002036403651021195,train,False,400003,3
True,True,1.0,0.007279622368514538,0.002337548438826419,train,False,400003,4
True,True,1.0,0.0072090597823262215,0.00285021747858451,train,False,400003,5
True,True,1.0,0.0072090597823262215,0.0032118947798691084,train,False,400003,6
True,True,1.0,0.0072090597823262215,0.0493992140766429,train,False,400003,7
False,False,1.0,0.0072090597823262215,0.1034244368531036,train,False,400003,8
False,True,0.0,0.002104903571307659,0.0,train,False,400004,0
False,True,0.0,0.002596829552203417,0.00037568019548084053,train,False,400004,1
True,True,0.0,0.0031442546751350164,0.0010751303561307983,train,False,400004,2
True,True,0.0,0.0031442546751350164,0.001688700843903014,train,False,400004,3
True,True,0.0,0.0031442546751350164,0.049245303593304826,train,False,400004,4
True,True,0.0,0.0031442546751350164,0.047690677117849425,train,False,400004,5
True,True,0.75,0.04345492646098137,0.0,train,True,400005,0
True,True,0.75,0.04345492646098137,0.001324318828441995,train,True,400005,1
True,True,0.75,0.04345492646098137,0.017105114948703464,train,True,400005,2
True,True,0.75,0.04345492646098137,0.028671618901961977,train,True,400005,3
True,True,1.0,0.021014105528593063,0.0,train,False,400006,0
True,True,1.0,0.021014105528593063,0.0030081282233014794,train,False,400006,1
True,True,1.0,0.005746203940361738,0.0,train,False,400007,0
True,True,1.0,0.006992060225456953,0.0012204699549415922,train,False,400007,1
True,True,1.0,0.006992060225456953,0.002506172130686325,train,False,400007,2
True,True,1.0,0.006992060225456953,0.004140049439903738,train,False,400007,3
True,True,1.0,0.006992060225456953,0.004581079826096558,train,False,400007,4
True,True,1.0,0.00897401012480259,0.0,train,False,400008,0
True,True,1.0,0.004491343628615141,0.0011949966424186016,train,False,400008,1
True,True,1.0,0.005666461307555437,0.0027915858563392314,train,False,400008,2
True,True,1.0,0.004719523247331381,0.004359046941627251,train,False,400008,3
True,True,1.0,0.004719523247331381,0.006981954491520449,train,False,400008,4
True,True,1.0,0.004719523247331381,0.006665833710188538,train,False,400008,5
True,True,1.0,0.004719523247331381,0.006707192912859742,train,False,400008,6
True,True,0.0,0.005717048887163401,0.0,train,False,400009,0
True,True,0.0,0.005024051293730736,0.001112799459396154,train,False,400009,1
True,True,0.0,0.0068864114582538605,0.0020806955831172607,train,False,400009,2
True,True,0.0,0.0068864114582538605,0.003004715636607043,train,False,400009,3
True,True,0.0,0.0068864114582538605,0.003522681663339314,train,False,400009,4
True,True,0.0,0.0068864114582538605,0.003911466043463408,train,False,400009,5
True,True,1.0,0.006894929800182581,0.0,train,False,400010,0
True,True,1.0,0.006894929800182581,0.0005143864457839793,train,False,400010,1
True,True,1.0,0.006894929800182581,0.002266398882360834,train,False,400010,2
False,False,1.0,0.006894929800182581,0.05213187980107659,train,False,400010,3
True,True,0.625,0.02274577133357525,0.0,train,True,400011,0
True,True,0.625,0.02274577133357525,0.0031644875626399933,train,True,400011,1
True,True,0.8333333134651184,0.08475242555141449,0.0,train,True,400012,0
True,True,0.8333333134651184,0.08475242555141449,0.004093429601188004,train,True,400012,1
True,True,0.8333333134651184,0.08475242555141449,0.03341833367167865,train,True,400012,2
False,False,0.8333333134651184,0.08475242555141449,0.10222389816076577,train,True,400012,3
True,True,1.0,0.006375923752784729,0.0,train,False,400013,0
True,True,1.0,0.0035636438988149166,0.0005595876673249532,train,False,400013,1
True,True,1.0,0.002953760791569948,0.0016214922435475471,train,False,400013,2
True,True,1.0,0.002953760791569948,0.002945261845467314,train,False,400013,3
False,False,1.0,0.002953760791569948,0.0522457817441634,train,False,400013,4
False,False,1.0,0.002953760791569948,0.05100456264120989,train,False,400013,5
True,True,0.6666666269302368,0.04157223552465439,0.0,train,True,400014,0
True,True,0.6666666269302368,0.04157223552465439,0.0010330799626700124,train,True,400014,1
False,False,0.6666666269302368,0.04157223552465439,0.07507643704349767,train,True,400014,2
False,False,0.6666666269302368,0.04157223552465439,0.09136518538998377,train,True,400014,3
True,True,0.9583333134651184,0.07139825820922852,0.0,train,True,400015,0
True,True,0.9583333134651184,0.07277904450893402,0.0028788091542776475,train,True,400015,1
True,True,0.9583333134651184,0.07277904450893402,0.0265544274288736,train,True,400015,2
True,True,0.9583333134651184,0.07277904450893402,0.04734340760698014,train,True,400015,3
False,False,0.9583333134651184,0.07277904450893402,0.06522243691650365,train,True,400015,4
True,True,0.0,0.003348652273416519,0.0,train,False,400016,0
True,True,0.0,0.0037690431345254183,0.0009707726875117126,train,False,400016,1
True,True,0.0,0.0037690431345254183,0.0016051390684927776,train,False,400016,2
True,True,0.0,0.0037690431345254183,0.0026971840065323767,train,False,400016,3
True,True,0.0,0.0037690431345254183,0.002807554132569051,train,False,400016,4
True,True,0.8333333134651184,0.04990319907665253,0.0,train,True,400017,0
True,True,0.8333333134651184,0.04990319907665253,0.02591732848509737,train,True,400017,1
True,True,0.04166668653488159,0.003167436458170414,0.0,train,True,400018,0
True,True,0.04166668653488159,0.003374817781150341,0.0007118208388400582,train,True,400018,1
True,True,0.04166668653488159,0.003374817781150341,0.001293851038069782,train,True,400018,2
True,True,0.04166668653488159,0.003374817781150341,0.0017108569607471348,train,True,400018,3
True,True,0.04166668653488159,0.003374817781150341,0.001740128423791975,train,True,400018,4
True,True,0.0,0.007176698185503483,0.0,train,False,400019,0
True,True,0.0,0.007176698185503483,0.0007725679945237702,train,False,400019,1
True,True,0.4583333134651184,0.03505988419055939,0.0,train,True,400020,0
True,True,0.4583333134651184,0.03505988419055939,0.008426597051047077,train,True,400020,1
True,True,0.4583333134651184,0.03505988419055939,0.026886299351876135,train,True,400020,2
True,True,0.4583333134651184,0.03505988419055939,0.038979607816001904,train,True,400020,3
True,True,0.2083333134651184,0.0061607034876942635,0.0,train,True,400021,0
True,True,0.2083333134651184,0.008127117529511452,0.0011373325458656398,train,True,400021,1
True,True,0.2083333134651184,0.01026775874197483,0.0026506053875661128,train,True,400021,2
True,True,0.2083333134651184,0.01026775874197483,0.004009488637928323,train,True,400021,3
True,True,0.2083333134651184,0.01026775874197483,0.004466263153817441,train,True,400021,4
True,True,0.2083333134651184,0.01026775874197483,0.0072891652595488575,train,True,400021,5
False,True,0.0,0.002167627215385437,0.0,train,False,400022,0
False,True,0.0,0.002167627215385437,0.04887328672525726,train,False,400022,1
True,True,0.8333333134651184,0.06676358729600906,0.0,train,True,400023,0
True,True,0.8333333134651184,0.06305831670761108,0.0024625092583039597,train,True,400023,1
False,False,0.8333333134651184,0.06284971535205841,0.08002618392540146,train,True,400023,2
False,False,0.8333333134651184,0.06853845715522766,0.10171247097838346,train,True,400023,3
False,False,0.8333333134651184,0.07064651697874069,0.12228377931369307,train,True,400023,4
False,False,0.8333333134651184,0.0794452652335167,0.0679287985447974,train,True,400023,5
False,False,0.8333333134651184,0.0794452652335167,0.06543975045395922,train,True,400023,6
False,False,0.8333333134651184,0.0794452652335167,0.06516218877000494,train,True,400023,7
False,False,0.8333333134651184,0.0794452652335167,0.06228827980870646,train,True,400023,8
True,True,0.04166668653488159,0.009761575609445572,0.0,train,True,400024,0
True,True,0.04166668653488159,0.010178438387811184,0.0011551260594310012,train,True,400024,1
False,False,0.04166668653488159,0.012441537342965603,0.05243993908072145,train,True,400024,2
False,False,0.04166668653488159,0.009560336358845234,0.054772748227744396,train,True,400024,3
False,False,0.04166668653488159,0.009560336358845234,0.05584875502178458,train,True,400024,4
True,True,0.04166668653488159,0.009560336358845234,0.008787854169657116,train,True,400024,5
True,True,0.04166668653488159,0.009560336358845234,0.019547763590708846,train,True,400024,6
True,True,0.2083333134651184,0.017310846596956253,0.0,train,True,400025,0
True,True,0.2083333134651184,0.017310846596956253,0.004904680138959084,train,True,400025,1
True,True,0.2083333134651184,0.017310846596956253,0.013563784050619867,train,True,400025,2
True,True,0.2083333134651184,0.017310846596956253,0.022171484151445625,train,True,400025,3
True,True,0.04166668653488159,0.0040890309028327465,0.0,train,True,400026,0
True,True,0.04166668653488159,0.0040890309028327465,0.0007293243153158616,train,True,400026,1
True,True,0.04166668653488159,0.0040890309028327465,0.0012612067361645188,train,True,400026,2
True,True,0.04166668653488159,0.0040890309028327465,0.002133173595996641,train,True,400026,3
True,True,0.04166668653488159,0.006069983821362257,0.0,train,True,400027,0
True,True,0.04166668653488159,0.006069983821362257,0.0009632010346987559,train,True,400027,1
True,True,0.04166668653488159,0.006069983821362257,0.0020684432025011774,train,True,400027,2
True,True,0.04166668653488159,0.006069983821362257,0.0034821701091602244,train,True,400027,3
True,True,1.0,0.0024645323865115643,0.0,train,False,400028,0
True,True,1.0,0.0032217754051089287,0.0005031874422537049,train,False,400028,1
True,True,1.0,0.007498137652873993,0.001097337564338837,train,False,400028,2
True,True,1.0,0.008338657207787037,0.0018401257386062985,train,False,400028,3
True,True,1.0,0.007947837933897972,0.001944210243038696,train,False,400028,4
True,True,1.0,0.007947837933897972,0.0022315150785454083,train,False,400028,5
True,True,1.0,0.007947837933897972,0.005314107320289581,train,False,400028,6
True,True,1.0,0.007947837933897972,0.007012415304259028,train,False,400028,7
True,True,1.0,0.00903733354061842,0.0,train,False,400029,0
True,True,1.0,0.006358969025313854,0.0013613917219129426,train,False,400029,1
True,True,1.0,0.005295222625136375,0.005094559354095906,train,False,400029,2
True,True,1.0,0.005295222625136375,0.010816726277107046,train,False,400029,3
True,True,1.0,0.005295222625136375,0.013849485795010531,train,False,400029,4
True,True,1.0,0.005295222625136375,0.018566265462732753,train,False,400029,5
True,True,0.0,0.005933044012635946,0.0,train,False,400030,0
True,True,0.0,0.005132599733769894,0.0005204923713447452,train,False,400030,1
True,True,0.0,0.005132599733769894,0.002314724033921727,train,False,400030,2
True,True,0.0,0.005132599733769894,0.012066207477374944,train,False,400030,3
True,True,0.0,0.005132599733769894,0.0146037731674807,train,False,400030,4
True,True,0.9166666865348816,0.11106546968221664,0.0,train,True,400031,0
True,True,0.9166666865348816,0.11160918325185776,0.0029242246551914076,train,True,400031,1
True,True,0.9166666865348816,0.11019256711006165,0.03776061141845855,train,True,400031,2
False,False,0.9166666865348816,0.10815149545669556,0.0648072258629066,train,True,400031,3
False,False,0.9166666865348816,0.11398299038410187,0.08999129713107204,train,True,400031,4
False,False,0.9166666865348816,0.11398299038410187,0.07905093802352883,train,True,400031,5
False,False,0.9166666865348816,0.11398299038410187,0.0776589294533589,train,True,400031,6
