best_of_k_final_chamfer,elapsed_seconds,epoch,family,input_variant,k1_final_chamfer,pool_diversity,train_noise_mse,training_seed
143.7929204305013,2.363084554672241,25,mlp_ddpm,paper_state,176.63782336665136,97.03471345661065,0.6506807580590248,31421
132.3046676785338,3.815124988555908,50,mlp_ddpm,paper_state,162.51241100535674,90.07139365679744,0.49995334446430206,31421
118.89485841638901,5.267626762390137,75,mlp_ddpm,paper_state,146.53039019715553,80.3481933249145,0.4109063930809498,31421
101.02424449546665,6.735527992248535,100,mlp_ddpm,paper_state,124.48459744920918,69.45127565987639,0.35243263468146324,31421
85.24477966158997,8.171854734420776,125,mlp_ddpm,paper_state,105.86777563656078,58.75580482322629,0.30822117254137993,31421
69.41767636467429,9.624109506607056,150,mlp_ddpm,paper_state,87.8833158156451,49.1784159275664,0.2710513584315777,31421
56.27987876592898,11.057025671005249,175,mlp_ddpm,paper_state,72.03280759325214,40.99449099679622,0.23853874020278454,31421
44.444209005318434,12.490058422088623,200,mlp_ddpm,paper_state,59.37323424395393,34.4674082363353,0.23315091244876385,31421
34.84384119744394,13.936939239501953,225,mlp_ddpm,paper_state,49.05030215020273,29.577306222181033,0.21746965125203133,31421
27.682583640603458,15.378575801849365,250,mlp_ddpm,paper_state,41.05607666688807,26.42274740496938,0.21073701046407223,31421
22.521074547487146,16.846893548965454,275,mlp_ddpm,paper_state,34.86662629071404,24.775247931146488,0.20404570735991,31421
19.177934113670798,18.2938973903656,300,mlp_ddpm,paper_state,31.752160605262308,24.285263332332217,0.23427985236048698,31421
16.717427169575412,19.738269805908203,325,mlp_ddpm,paper_state,30.116299535713942,24.565596838458237,0.2179074790328741,31421
15.286777935776056,21.174957513809204,350,mlp_ddpm,paper_state,28.95572139702591,25.104088605618948,0.20886870473623276,31421
14.355572859446207,22.61784076690674,375,mlp_ddpm,paper_state,28.209953700794895,25.67067929042154,0.2055993340909481,31421
13.683455107258816,24.056952714920044,400,mlp_ddpm,paper_state,27.888402359158384,26.186676603405417,0.20551622845232487,31421
13.253906881108003,25.50318479537964,425,mlp_ddpm,paper_state,27.696430243697822,26.62698715491122,0.20505108125507832,31421
12.941510616564283,26.98247241973877,450,mlp_ddpm,paper_state,27.56392807119033,26.994592966318805,0.20829715579748154,31421
12.793071405560363,28.43139410018921,475,mlp_ddpm,paper_state,27.47659500907449,27.295308712149865,0.20958465337753296,31421
12.613139063704248,29.880146980285645,500,mlp_ddpm,paper_state,27.430105480493285,27.57388697268248,0.20747223682701588,31421
12.479247326944389,31.34204387664795,525,mlp_ddpm,paper_state,27.453612103181726,27.834613205671975,0.2159331627190113,31421
12.324599831712012,32.78958201408386,550,mlp_ddpm,paper_state,27.493088712879256,28.06359629554241,0.20963843539357185,31421
12.216454024408378,34.250863552093506,575,mlp_ddpm,paper_state,27.51299476623535,28.258446285537644,0.20050199329853058,31421
12.133926915187462,35.694016218185425,600,mlp_ddpm,paper_state,27.5423594456093,28.431800747034586,0.2076538112014532,31421
12.107778848386278,37.14410758018494,625,mlp_ddpm,paper_state,27.565339181937425,28.554953673724025,0.21496724896132946,31421
12.093611422707053,38.58700776100159,650,mlp_ddpm,paper_state,27.524926989686254,28.629645915508934,0.2095104232430458,31421
12.072937596078013,40.052632570266724,675,mlp_ddpm,paper_state,27.51523577933218,28.693324691274245,0.21227962709963322,31421
12.076109811371447,41.48609638214111,700,mlp_ddpm,paper_state,27.505633606630212,28.753881520750806,0.20965447276830673,31421
12.102906021417356,42.94348382949829,725,mlp_ddpm,paper_state,27.52810003710728,28.815828635662537,0.20503708720207214,31421
12.069217247121474,44.39030480384827,750,mlp_ddpm,paper_state,27.5532129091375,28.843653690915147,0.212011294439435,31421
144.04798417932847,1.4480676651000977,25,mlp_ddpm,paper_state,180.98872338089288,97.20714994238209,0.6678978055715561,31422
133.252633637073,2.9054954051971436,50,mlp_ddpm,paper_state,169.36867904663086,90.19752206855796,0.49680279567837715,31422
117.25422511381261,4.36456036567688,75,mlp_ddpm,paper_state,148.1306656482173,80.20463469849915,0.40966347232460976,31422
100.1028891170726,5.819986343383789,100,mlp_ddpm,paper_state,124.68641991708793,69.11755013265531,0.357864860445261,31422
83.82095134959502,7.28388524055481,125,mlp_ddpm,paper_state,104.12405014038086,58.45181401570637,0.29851215332746506,31422
68.6006731893502,8.745750188827515,150,mlp_ddpm,paper_state,85.87818501042385,48.79694663242799,0.2714982107281685,31422
54.981776742374194,10.18669867515564,175,mlp_ddpm,paper_state,70.52987274469113,40.72943467118828,0.24567354656755924,31422
43.54713327744428,11.647979974746704,200,mlp_ddpm,paper_state,56.74994880077886,34.1720309524643,0.23995203897356987,31422
34.484286046495626,13.090062141418457,225,mlp_ddpm,paper_state,45.68453730788885,29.35917976790784,0.22209196351468563,31422
27.623207503674077,14.552281141281128,250,mlp_ddpm,paper_state,38.0418456956452,26.211337875585258,0.22690575942397118,31422
22.700409234738817,16.01442289352417,275,mlp_ddpm,paper_state,33.16846165002561,24.610694215745152,0.2193834576755762,31422
19.44881727181229,17.47637677192688,300,mlp_ddpm,paper_state,30.098909723992442,24.055449085075313,0.20862474106252193,31422
17.487858819026574,18.921987771987915,325,mlp_ddpm,paper_state,28.132182233473834,24.112796591443505,0.21582144498825073,31422
16.241219950657264,20.365209817886353,350,mlp_ddpm,paper_state,26.794783723120595,24.513674322797474,0.21027147211134434,31422
15.214794771344055,21.816715955734253,375,mlp_ddpm,paper_state,26.23178265141506,24.98680878236514,0.2065928913652897,31422
14.395819682700962,23.273688316345215,400,mlp_ddpm,paper_state,25.944248554753322,25.49493126007689,0.21648098900914192,31422
