block,shape,min,max,mean,std,p01,p50,p99,num_nan,num_inf,num_zero_variance,num_near_zero_variance,num_abs_gt_1e3
paper_x,956x405,-4.110935211181641,1.9283537864685059,0.05017260463537684,0.46298962267472926,-1.5708142518997192,0.0,1.0,0,0,81,81,0
state_action_x,956x447,-4.110935211181641,1.9283537864685059,0.05191844404752105,0.44652729594061924,-1.570807695388794,0.0,1.0,0,0,99,99,0
y_state,956x4x135,-4.116755485534668,1.931820273399353,0.046806053566484665,0.4645957632692938,-1.5718851971626282,0.0,1.0,0,0,108,108,0
y_action,956x14,-0.5,1.0,0.2150564457340395,0.3757316787428618,-0.30689550697803497,0.0,1.0,0,0,8,8,0
