final_chamfer_mean,final_chamfer_median,raw_xy_abs_max,start_timestep,weights,z_abs_max,z_mae,z_mse
0.01709555956767872,0.010713589377701283,0.878995418548584,10,ema,226.6231231689453,0.19358377158641815,0.740169882774353
0.02628797054057941,0.01289188303053379,1.3691434860229492,25,ema,193.5097198486328,0.3336978852748871,3.426048994064331
0.0344047715771012,0.020520826801657677,1.624880075454712,50,ema,152.861328125,0.47127118706703186,9.510722160339355
0.04801012499956414,0.03500891663134098,1.2319867610931396,75,ema,132.53346252441406,0.6255484223365784,15.881174087524414
27.053202509880066,22.614630699157715,145.91903686523438,99,ema,1533.145751953125,224.41549682617188,86007.3046875
0.018586525577120483,0.012298987712711096,0.9000574350357056,10,raw,225.48919677734375,0.2012820988893509,0.7914551496505737
0.029754197865258902,0.014363866299390793,1.4703106880187988,25,raw,191.15989685058594,0.35182103514671326,3.6269452571868896
0.034899150021374226,0.0211555827409029,1.6954952478408813,50,raw,149.8393096923828,0.4892250597476959,9.856378555297852
0.045375283691100776,0.03139437362551689,1.3351480960845947,75,raw,129.3648223876953,0.6397092342376709,16.284311294555664
26.86448836326599,21.5185489654541,154.41758728027344,99,raw,1558.4957275390625,224.00140380859375,86655.109375
