baseline,condition,subset,num_rows,sample_wrong_branch_rate_mean,sample_wrong_branch_rate_std,branch_accuracy_mean,branch_accuracy_std,future_chamfer_to_true_mean,future_chamfer_to_true_std,averaging_score_mean,averaging_score_std,action_mse_mean,action_mse_std,action_ood_score_mean,action_ood_score_std
paper_state,all,all,1128,0.4440196513002364,0.39976175037801265,0.5559803486997635,0.39976175037801254,0.11285136375536627,0.07525947515334162,-0.002221443049662502,0.0014579526010025706,0.0047211185856599995,0.004660067076014342,0.5495114546824009,0.381467870997017
paper_state,free,primary_ccda,282,0.6679410460992907,0.3674629065237427,0.3320589539007092,0.3674629065237427,0.0823527677843334,0.02207827252116836,-0.002221443049662502,0.0014598969707498542,0.004543299423155032,0.004450120815832402,0.5495114546824009,0.3819766081037085
paper_state,hidden_breakaway_pin,primary_ccda,282,0.3320589539007092,0.3674629065237427,0.6679410460992907,0.3674629065237427,0.08150097301084522,0.022754060225513892,-0.002221443049662502,0.0014598969707498542,0.004810759173430617,0.00459568459604968,0.5495114546824009,0.3819766081037085
paper_state,hidden_high_friction,control_contact,282,,,,,0.08074241530493642,0.0221778553688623,-0.002221443049662502,0.0014598969707498542,0.00521646897418545,0.005297818278898964,0.5495114546824009,0.3819766081037085
paper_state,hidden_pin,diagnostic_ccda,282,0.3320589539007092,0.3674629065237427,0.6679410460992907,0.3674629065237427,0.20680929892135005,0.09698137101181932,-0.002221443049662502,0.0014598969707498542,0.004313946771868901,0.004201613431006152,0.5495114546824009,0.3819766081037085
state_action,all,all,1128,0.44627290189125296,0.40027478188070503,0.5537270981087471,0.40027478188070503,0.11211146939717603,0.07463495902875152,-0.0023073571344428027,0.0014965406246160349,0.004657930779632407,0.004767109977960278,0.5499754009094644,0.3595959301311899
state_action,free,primary_ccda,282,0.6611812943262412,0.3707088210655979,0.3388187056737589,0.3707088210655979,0.08180416024006004,0.021116881678557325,-0.0023073571344428027,0.0014985364565203666,0.00447397438218891,0.00443124287842066,0.5499754009094644,0.36007549815508355
state_action,hidden_breakaway_pin,primary_ccda,282,0.3388187056737589,0.3707088210655979,0.6611812943262412,0.3707088210655979,0.08102517872256168,0.02179293509781985,-0.0023073571344428027,0.0014985364565203666,0.004748823288330686,0.0046109720896568476,0.5499754009094644,0.36007549815508355
state_action,hidden_high_friction,control_contact,282,,,,,0.08025192390096948,0.021285890093651266,-0.0023073571344428027,0.0014985364565203666,0.005143958617485081,0.005542796153370899,0.5499754009094644,0.36007549815508355
state_action,hidden_pin,diagnostic_ccda,282,0.3388187056737589,0.3707088210655979,0.6611812943262412,0.3707088210655979,0.20536461472511292,0.09659035905958752,-0.0023073571344428027,0.0014985364565203666,0.004264966830524949,0.004369223961517722,0.5499754009094644,0.36007549815508355
