selector,uses_condition_label,condition,visible_seed,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,model_x_ood_l2,model_x_ood_abs,future_std_mean,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,input_nn_l2,selected_train_index,selected_window_idx,selected_condition,selected_context_l2,selected_score,score_context,score_action_ood,score_clip,score_action_mae,score_pull_diff,action_ood,clip_frac,pose0_x,pose0_y,pose1_x,pose1_y,pull_len,source_pull_len,action_mae_to_source,action_l2_to_source,scope
ddpm_mean,0,free,312000,0,12,0.0,0.0,0.0,0,0.0,nan,nan,0.019392268732190132,0.08692321926355362,0.04426312446594238,hidden_high_friction,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.39695850014686584,0.0,0.5035825371742249,-0.0523468554019928,0.43709802627563477,-0.19411715865135193,0.1565854698419571,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312000,0,13,0.0,0.0,0.0,0,0.0,nan,nan,0.02702164091169834,0.07926033437252045,0.04025554656982422,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.1404266506433487,0.0,0.510593593120575,-0.02367754653096199,0.5191618800163269,-0.05557198077440262,0.03302530199289322,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312000,0,14,0.0,0.0,0.0,0,0.0,nan,nan,0.02180754393339157,0.08134664595127106,0.041914086788892746,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.2958385944366455,0.0,0.5635818839073181,0.006524557247757912,0.6054120063781738,-0.04443921521306038,0.06593228131532669,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312000,0,15,0.0,0.0,0.0,0,0.0,nan,nan,0.038369596004486084,0.04936870560050011,0.02569715492427349,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.16949810087680817,0.0,0.5056947469711304,-0.03801875561475754,0.5126457810401917,-0.07244973629713058,0.035125620663166046,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,0,0.0,0.0,0.0,0,0.0,nan,nan,0.03973274305462837,0.042739056050777435,0.018756665289402008,hidden_high_friction,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.5876636505126953,0.0,0.34569573402404785,-0.32188230752944946,0.5596386194229126,0.04606743901968002,0.4256272614002228,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,1,0.0,0.125,0.125,0,0.125,nan,nan,0.03932111710309982,0.046424150466918945,0.024444065988063812,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.6671766638755798,0.0,0.35720017552375793,-0.3073607087135315,0.5601692199707031,-0.02222278341650963,0.3500000834465027,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,2,0.125,0.125,0.0,0,0.0,nan,nan,0.03971166908740997,0.04707746580243111,0.02488476037979126,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.34697169065475464,0.0,0.4298408627510071,-0.16962407529354095,0.48671016097068787,-0.07662254571914673,0.10901101678609848,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,3,0.125,0.125,0.0,0,0.0,nan,nan,0.04015021026134491,0.04612777754664421,0.020289652049541473,free,1,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.397277295589447,0.0,0.4817706048488617,-0.07503724098205566,0.486785352230072,-0.031101856380701065,0.04422064870595932,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,4,0.125,0.125,0.0,0,0.0,nan,nan,0.04035468399524689,0.04368315637111664,0.020051784813404083,hidden_high_friction,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.20186924934387207,0.0,0.4957956075668335,-0.06560009717941284,0.5123236775398254,-0.03685085475444794,0.03316166624426842,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
ddpm_mean,0,free,312001,1,5,0.125,0.08333333333333333,-0.04166666666666667,0,-0.04166666666666667,nan,nan,0.040306154638528824,0.045799240469932556,0.024008292704820633,hidden_breakaway_pin,0,nan,-1,-1,,nan,nan,nan,nan,nan,nan,nan,0.18061700463294983,0.0,0.5130595564842224,-0.08659516274929047,0.5151861906051636,-0.06301131844520569,0.02367953211069107,nan,nan,nan,phase3_12_compat_selection_no_phase4_no_cps
