bin,epsilon_mae,epsilon_mse,pred_x0_abs_max,pred_x0_abs_p99,pred_x0_mae,pred_x0_mse,rows,true_x0_abs_max,weights
0-9,1.0002785921096802,9.378847122192383,252.68946838378906,3.7334089279174805,0.08466126024723053,0.047346483916044235,64,255.1311492919922,ema
10-24,0.7544174194335938,8.78996467590332,235.87852478027344,3.707871913909912,0.20280618965625763,0.5556477904319763,64,255.1311492919922,ema
25-49,0.5232865214347839,5.833818435668945,205.09820556640625,5.176906108856201,0.378572940826416,3.308878183364868,64,255.1311492919922,ema
50-74,0.4605691730976105,4.1976399421691895,184.21563720703125,5.814403057098389,0.6237401962280273,5.192044734954834,64,255.1311492919922,ema
75-89,0.3475939929485321,0.8414657711982727,155.4998321533203,8.481037139892578,1.3368695974349976,12.598189353942871,64,255.1311492919922,ema
90-99,0.2915631830692291,0.20677773654460907,3477.9384765625,619.8164672851562,22.166847229003906,15637.2998046875,64,255.1311492919922,ema
0-9,1.0137180089950562,10.162562370300293,250.8781280517578,3.7391209602355957,0.0965438187122345,0.07200058549642563,64,255.1311492919922,raw
10-24,0.7821483016014099,9.257633209228516,233.06040954589844,4.0688581466674805,0.23760464787483215,0.8906527757644653,64,255.1311492919922,raw
25-49,0.5856407284736633,7.485327243804932,207.1386260986328,4.963263034820557,0.3668117821216583,2.472249746322632,64,255.1311492919922,raw
50-74,0.4230671226978302,2.276202440261841,165.53433227539062,7.312885761260986,0.7137095928192139,8.400922775268555,64,255.1311492919922,raw
75-89,0.35741424560546875,0.8792150616645813,152.25555419921875,8.973274230957031,1.4383008480072021,13.911418914794922,64,255.1311492919922,raw
90-99,0.2917623519897461,0.2104094922542572,3306.845947265625,1377.6268310546875,116.5220718383789,99030.3671875,64,255.1311492919922,raw
