diverged,eligible,final_fraction_abs_diff,future_final_xy_chamfer,normalized_prefix_mae,split,success_diff,visible_seed,window_t
True,True,0.7916666865348816,0.06597625464200974,0.0,train,True,400000,0
True,True,0.7916666865348816,0.06597625464200974,0.004982379560096281,train,True,400000,1
True,True,0.7916666865348816,0.06597625464200974,0.045715301791516276,train,True,400000,2
False,False,0.7916666865348816,0.06597625464200974,0.11261104400123757,train,True,400000,3
False,True,0.0,0.0028029410168528557,0.0,train,False,400001,0
False,True,0.0,0.0028029410168528557,0.0007581031118993424,train,False,400001,1
True,True,0.0,0.006296360865235329,0.0,train,False,400002,0
False,False,0.0,0.006296360865235329,0.050148811636688405,train,False,400002,1
False,False,0.0,0.006296360865235329,0.05193315175100405,train,False,400002,2
False,False,0.0,0.006296360865235329,0.054592673824654304,train,False,400002,3
True,True,0.04166668653488159,0.007022904232144356,0.0,train,True,400003,0
True,True,0.04166668653488159,0.0073726484552025795,0.04878657206023102,train,True,400003,1
False,False,0.04166668653488159,0.0073726484552025795,0.05136253001525861,train,True,400003,2
False,False,0.04166668653488159,0.0073726484552025795,0.05337733035878136,train,True,400003,3
False,False,0.04166668653488159,0.0073726484552025795,0.05517682178129544,train,True,400003,4
True,True,0.6666666269302368,0.07598147541284561,0.0,train,True,400004,0
True,True,0.6666666269302368,0.063506118953228,0.0012017088715139319,train,True,400004,1
True,True,0.6666666269302368,0.06872370839118958,0.023080006962348992,train,True,400004,2
True,True,0.6666666269302368,0.06872370839118958,0.04129288033636031,train,True,400004,3
False,False,0.6666666269302368,0.06872370839118958,0.05905891956845029,train,True,400004,4
False,False,0.6666666269302368,0.06872370839118958,0.05132471755554777,train,True,400004,5
True,True,0.7083333730697632,0.044521015137434006,0.0,train,True,400005,0
True,True,0.7083333730697632,0.044521015137434006,0.0024130477755102387,train,True,400005,1
True,True,0.7083333730697632,0.044521015137434006,0.025519104163174815,train,True,400005,2
True,True,0.125,0.023584401234984398,0.0,train,True,400006,0
True,True,0.125,0.023584401234984398,0.0017724252564988814,train,True,400006,1
True,True,0.2083333134651184,0.005217897705733776,0.0,train,True,400007,0
True,True,0.2083333134651184,0.005217897705733776,0.0003677052347216669,train,True,400007,1
True,True,0.2083333134651184,0.005217897705733776,0.001805670892038169,train,True,400007,2
True,True,0.2083333134651184,0.005217897705733776,0.0032526943419530384,train,True,400007,3
True,True,0.0,0.0038358918391168118,0.0,train,False,400008,0
