epoch,input_variant,model,train_masked_standardized_mse,training_seed,val_pre_engagement_final_xy_chamfer
5,paper_state,deterministic_mlp,0.4156022071838379,31401,0.07920211538389
10,paper_state,deterministic_mlp,0.35692718625068665,31401,0.07287613225913525
15,paper_state,deterministic_mlp,0.3398054152727127,31401,0.07031070769627822
20,paper_state,deterministic_mlp,0.3310474306344986,31401,0.07024884931287607
25,paper_state,deterministic_mlp,0.3242332100868225,31401,0.06984592624054209
30,paper_state,deterministic_mlp,0.3198132574558258,31401,0.0699558480270713
35,paper_state,deterministic_mlp,0.31207036674022676,31401,0.06989556587043057
40,paper_state,deterministic_mlp,0.3085268557071686,31401,0.06790108695935013
45,paper_state,deterministic_mlp,0.3045831322669983,31401,0.0697478250354913
50,paper_state,deterministic_mlp,0.30208843350410464,31401,0.06771172721156567
55,paper_state,deterministic_mlp,0.29974570870399475,31401,0.067723614728058
60,paper_state,deterministic_mlp,0.2960499584674835,31401,0.06727581416413633
65,paper_state,deterministic_mlp,0.2971172213554382,31401,0.06580367546690546
70,paper_state,deterministic_mlp,0.2911467432975769,31401,0.06630124807555188
75,paper_state,deterministic_mlp,0.2876998379826546,31401,0.06557903935849342
80,paper_state,deterministic_mlp,0.2891475364565849,31401,0.06445444519909949
85,paper_state,deterministic_mlp,0.2854751229286194,31401,0.06577150969457327
90,paper_state,deterministic_mlp,0.2849914520978928,31401,0.06412384257545574
95,paper_state,deterministic_mlp,0.2817429184913635,31401,0.0645046615492269
100,paper_state,deterministic_mlp,0.2810387060046196,31401,0.06378577874452078
105,paper_state,deterministic_mlp,0.27809248566627504,31401,0.06481143246333965
110,paper_state,deterministic_mlp,0.2776334598660469,31401,0.0636569881854761
115,paper_state,deterministic_mlp,0.2757794469594955,31401,0.06470282843498432
120,paper_state,deterministic_mlp,0.2721955806016922,31401,0.06468871255587462
125,paper_state,deterministic_mlp,0.2715649977326393,31401,0.06307560717307395
130,paper_state,deterministic_mlp,0.26894919723272326,31401,0.06413764385354664
135,paper_state,deterministic_mlp,0.26800167709589007,31401,0.06341187404240886
140,paper_state,deterministic_mlp,0.26661611944437025,31401,0.06243295210752758
145,paper_state,deterministic_mlp,0.2649108275771141,31401,0.06242780932655517
150,paper_state,deterministic_mlp,0.2641770675778389,31401,0.06183089974903218
155,paper_state,deterministic_mlp,0.2632111579179764,31401,0.06278402014109104
160,paper_state,deterministic_mlp,0.26449876427650454,31401,0.06270812471705975
165,paper_state,deterministic_mlp,0.2615731582045555,31401,0.0618812726980136
170,paper_state,deterministic_mlp,0.2606018364429474,31401,0.0628471985325197
175,paper_state,deterministic_mlp,0.2573603942990303,31401,0.06258601897634039
180,paper_state,deterministic_mlp,0.25513895601034164,31401,0.06181071671712941
185,paper_state,deterministic_mlp,0.2538840681314468,31401,0.06218037592960805
190,paper_state,deterministic_mlp,0.2531737685203552,31401,0.06219082425788814
195,paper_state,deterministic_mlp,0.2525009632110596,31401,0.0619628427666612
200,paper_state,deterministic_mlp,0.2526425629854202,31401,0.06312532391419391
205,paper_state,deterministic_mlp,0.24972891807556152,31401,0.062071995614805135
210,paper_state,deterministic_mlp,0.2509062334895134,31401,0.06189540753257461
215,paper_state,deterministic_mlp,0.2500486195087433,31401,0.06244702670348646
220,paper_state,deterministic_mlp,0.2422978475689888,31401,0.06266861101460602
225,paper_state,deterministic_mlp,0.24354249387979507,31401,0.06371341459453106
230,paper_state,deterministic_mlp,0.24254848957061767,31401,0.06352558167291926
5,paper_state,deterministic_mlp,0.4172194957733154,31402,0.07888287240031945
10,paper_state,deterministic_mlp,0.3562849223613739,31402,0.0708556873053211
15,paper_state,deterministic_mlp,0.3410810500383377,31402,0.06863430562257038
20,paper_state,deterministic_mlp,0.3285947978496552,31402,0.07028473946949183
25,paper_state,deterministic_mlp,0.3318706452846527,31402,0.06781673872635861
30,paper_state,deterministic_mlp,0.31796927750110626,31402,0.06732583454551945
35,paper_state,deterministic_mlp,0.3141087621450424,31402,0.0674499134209169
40,paper_state,deterministic_mlp,0.3113235950469971,31402,0.06752384007078312
45,paper_state,deterministic_mlp,0.3058799386024475,31402,0.06625843971130013
50,paper_state,deterministic_mlp,0.30447513461112974,31402,0.06617072592590652
55,paper_state,deterministic_mlp,0.29842431992292406,31402,0.06533594770893536
60,paper_state,deterministic_mlp,0.295697058737278,31402,0.06525135234772714
65,paper_state,deterministic_mlp,0.29161622673273085,31402,0.06568926650810603
70,paper_state,deterministic_mlp,0.2924384444952011,31402,0.06511255883378908
75,paper_state,deterministic_mlp,0.2875195324420929,31402,0.06332430314227089
80,paper_state,deterministic_mlp,0.2836626246571541,31402,0.06283206816221101
85,paper_state,deterministic_mlp,0.2847979933023453,31402,0.06306003970372409
90,paper_state,deterministic_mlp,0.2855008885264397,31402,0.06239968819832227
95,paper_state,deterministic_mlp,0.28208431899547576,31402,0.0637525592047377
100,paper_state,deterministic_mlp,0.28305371254682543,31402,0.06374979534555915
105,paper_state,deterministic_mlp,0.27730368375778197,31402,0.06207478723144564
110,paper_state,deterministic_mlp,0.2750845029950142,31402,0.06216132414081822
115,paper_state,deterministic_mlp,0.27872735261917114,31402,0.06373987110893485
120,paper_state,deterministic_mlp,0.2745507523417473,31402,0.061630399061275806
125,paper_state,deterministic_mlp,0.26784745156764983,31402,0.062330272652299915
130,paper_state,deterministic_mlp,0.27102682590484617,31402,0.062018270251270304
135,paper_state,deterministic_mlp,0.2707373559474945,31402,0.06216880731390911
140,paper_state,deterministic_mlp,0.2690552368760109,31402,0.06216431434554777
145,paper_state,deterministic_mlp,0.26413396149873736,31402,0.062330872741649335
150,paper_state,deterministic_mlp,0.26647795736789703,31402,0.06256587398947096
155,paper_state,deterministic_mlp,0.26146217435598373,31402,0.062277385474020695
160,paper_state,deterministic_mlp,0.2583702981472015,31402,0.06205390873314489
165,paper_state,deterministic_mlp,0.2590788543224335,31402,0.06180830381851157
170,paper_state,deterministic_mlp,0.2606577053666115,31402,0.06439837193971945
5,paper_state,deterministic_mlp,0.4192246347665787,31403,0.08113914603397818
10,paper_state,deterministic_mlp,0.35602194666862486,31403,0.0732490191610692
15,paper_state,deterministic_mlp,0.3415605962276459,31403,0.07295300137965292
20,paper_state,deterministic_mlp,0.33194391131401063,31403,0.0707660057169446
25,paper_state,deterministic_mlp,0.3270369619131088,31403,0.07031710170027193
30,paper_state,deterministic_mlp,0.3202343910932541,31403,0.07063754298597695
35,paper_state,deterministic_mlp,0.317354878783226,31403,0.06878637447168687
40,paper_state,deterministic_mlp,0.30949132442474364,31403,0.06822956594228542
45,paper_state,deterministic_mlp,0.30990714728832247,31403,0.07115063547667966
50,paper_state,deterministic_mlp,0.3029310077428818,31403,0.06690319805816018
55,paper_state,deterministic_mlp,0.2981783807277679,31403,0.06595367838947466
60,paper_state,deterministic_mlp,0.29802764505147933,31403,0.06601942823592412
65,paper_state,deterministic_mlp,0.29646167904138565,31403,0.0651172891831147
70,paper_state,deterministic_mlp,0.2941121682524681,31403,0.06416170457985414
75,paper_state,deterministic_mlp,0.2901461273431778,31403,0.06475941350673446
80,paper_state,deterministic_mlp,0.29077643901109695,31403,0.06312308257000278
85,paper_state,deterministic_mlp,0.2861680448055267,31403,0.06256082147213063
90,paper_state,deterministic_mlp,0.2863379865884781,31403,0.06268721545854097
95,paper_state,deterministic_mlp,0.2817292779684067,31403,0.0625481445673833
100,paper_state,deterministic_mlp,0.28063732385635376,31403,0.06172269707135654
105,paper_state,deterministic_mlp,0.2779611676931381,31403,0.06210330234708912
110,paper_state,deterministic_mlp,0.27458361983299256,31403,0.0615416483715703
115,paper_state,deterministic_mlp,0.27414426356554034,31403,0.060935397038955
120,paper_state,deterministic_mlp,0.27344961911439897,31403,0.06062622168278524
125,paper_state,deterministic_mlp,0.27048428505659106,31403,0.06113583813598582
130,paper_state,deterministic_mlp,0.2707150012254715,31403,0.060854607260451936
135,paper_state,deterministic_mlp,0.2680862247943878,31403,0.06127705126899578
140,paper_state,deterministic_mlp,0.2684152901172638,31403,0.06093954957728072
145,paper_state,deterministic_mlp,0.26583632081747055,31403,0.06173802829732228
150,paper_state,deterministic_mlp,0.2677280560135841,31403,0.06179372935667229
155,paper_state,deterministic_mlp,0.2636146262288094,31403,0.06084056237950395
160,paper_state,deterministic_mlp,0.2611872062087059,31403,0.060856510024598756
165,paper_state,deterministic_mlp,0.26267357617616655,31403,0.0614560541669008
170,paper_state,deterministic_mlp,0.25704269111156464,31403,0.061009039060951654
5,state_action,deterministic_mlp,0.39604475200176237,31401,0.07310657920417092
10,state_action,deterministic_mlp,0.33550068736076355,31401,0.06519033776788527
15,state_action,deterministic_mlp,0.32078827619552613,31401,0.062789472074339
20,state_action,deterministic_mlp,0.31279306709766386,31401,0.062225830615953666
25,state_action,deterministic_mlp,0.3071765422821045,31401,0.061830751065154683
30,state_action,deterministic_mlp,0.3044730007648468,31401,0.06125942719138592
35,state_action,deterministic_mlp,0.29875482618808746,31401,0.061706832725220644
40,state_action,deterministic_mlp,0.29728389382362364,31401,0.06162329690161404
45,state_action,deterministic_mlp,0.2944161921739578,31401,0.06401467268259022
50,state_action,deterministic_mlp,0.29242258071899413,31401,0.06152172913678679
55,state_action,deterministic_mlp,0.2899323880672455,31401,0.061627713369924335
60,state_action,deterministic_mlp,0.2886124223470688,31401,0.062277089637380253
65,state_action,deterministic_mlp,0.28893524706363677,31401,0.0626035857232004
70,state_action,deterministic_mlp,0.2845205098390579,31401,0.062138886449089194
75,state_action,deterministic_mlp,0.28255668580532073,31401,0.06281875565511418
80,state_action,deterministic_mlp,0.28294789493083955,31401,0.06256336518613946
5,state_action,deterministic_mlp,0.3957024782896042,31402,0.07244157662068534
10,state_action,deterministic_mlp,0.33332371711730957,31402,0.06295292986982057
15,state_action,deterministic_mlp,0.3219006538391113,31402,0.06174938581028508
20,state_action,deterministic_mlp,0.3116683229804039,31402,0.06190608136745615
25,state_action,deterministic_mlp,0.31450868844985963,31402,0.06108333757805193
30,state_action,deterministic_mlp,0.3030423492193222,31402,0.06065776247946222
35,state_action,deterministic_mlp,0.29963056147098543,31402,0.06020524426054655
40,state_action,deterministic_mlp,0.2990112334489822,31402,0.061601157045832064
45,state_action,deterministic_mlp,0.29499734491109847,31402,0.06032112708224146
50,state_action,deterministic_mlp,0.2935107573866844,31402,0.060969207068884985
55,state_action,deterministic_mlp,0.2886560454964638,31402,0.06009941344002626
60,state_action,deterministic_mlp,0.28688438087701795,31402,0.06068703454397821
65,state_action,deterministic_mlp,0.28332919627428055,31402,0.061073723600914134
70,state_action,deterministic_mlp,0.28457020223140717,31402,0.061184317089931065
