selector,uses_condition_label,condition,visible_seed,seed_cohort,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,future_std_mean,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,selected_train_index,selected_window_idx,selected_condition,selected_context_l2,selected_proxy_distance,selected_score,action_ood,clip_frac,pull_len,source_pull_len,action_mae_to_source,action_l2_to_source,scope
ddpm_mean,0,free,312001,phase312_seed_block,1,0,0.0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.04025295376777649,0.040306076407432556,0.01795806549489498,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.5802136063575745,0.0,0.44062602519989014,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,1,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.03990130126476288,0.0434238463640213,0.02307269722223282,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.3629714548587799,0.0,0.20946180820465088,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,2,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.040014754980802536,0.044876065105199814,0.023521745577454567,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.18744894862174988,0.0,0.08194100111722946,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,3,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.040276750922203064,0.044950369745492935,0.01938517577946186,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.0941428393125534,0.0,0.014764748513698578,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,4,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0,-0.08333333333333333,0.0403408408164978,0.0435250960290432,0.02021913416683674,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.08334129303693771,0.0,0.03612017259001732,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,5,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.040211111307144165,0.045909855514764786,0.0235240887850523,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.12104862183332443,0.0,0.005285265855491161,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,6,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.03983895108103752,0.044665735214948654,0.023636560887098312,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.1697278767824173,0.0,0.010290836915373802,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,7,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.040691591799259186,0.04362965002655983,0.018568558618426323,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.13825610280036926,0.0,0.008371028117835522,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,8,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.04019228741526604,0.04522185027599335,0.023441897705197334,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.09437721222639084,0.0,0.00785056408494711,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,9,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.04021470993757248,0.04162483662366867,0.017814619466662407,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.16411517560482025,0.0,0.007176348939538002,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,10,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.04035641625523567,0.042348966002464294,0.018166201189160347,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.11457175016403198,0.0,0.013157596811652184,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,11,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.039969634264707565,0.04364742711186409,0.022388998419046402,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.1468571275472641,0.0,0.008087976835668087,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
