condition,step,x,y,z,insertion_depth,lateral_offset,max_curvature
free_insert,0,-0.05483974808865435,-0.00010571366103339544,0.04539124015956515,0.0,-0.00010571366103339544,3.167193185727534
free_insert,1,-0.053453142889270326,-0.00010159668573194029,0.04540203497422923,0.0,-0.00010159668573194029,3.6100584667924918
free_insert,2,-0.051307169688120914,-9.605843639915085e-05,0.04546192958270155,0.0,-9.605843639915085e-05,3.7758420441449765
free_insert,3,-0.04912028925071645,-9.017548646513773e-05,0.04544112147319438,0.0,-9.017548646513773e-05,3.8844864412809006
free_insert,4,-0.04692673271429923,-8.420864527163635e-05,0.045396960748256325,0.0,-8.420864527163635e-05,3.896089575425149
free_insert,5,-0.04472794018997763,-7.822246094784094e-05,0.0453676833908289,0.0,-7.822246094784094e-05,3.8823522655084743
free_insert,6,-0.04252716012284907,-7.223880458034736e-05,0.04534357436742544,0.0,-7.223880458034736e-05,3.8258416503109354
free_insert,7,-0.04032896091558895,-6.624175601646791e-05,0.045305150576515706,0.0,-6.624175601646791e-05,3.8275475382853377
free_insert,8,-0.038127969551351844,-6.025874085344367e-05,0.045284364097326134,0.0,-6.025874085344367e-05,3.753449174017984
free_insert,9,-0.03592580309369988,-5.4267809207337606e-05,0.045263574540741314,0.0,-5.4267809207337606e-05,3.7698103689127054
free_insert,10,-0.033736225693458195,-4.828163236893672e-05,0.045219328155673366,0.0,-4.828163236893672e-05,3.712419146537537
free_insert,11,-0.03152806229126482,-4.228645099695237e-05,0.045206210663046885,0.0,-4.228645099695237e-05,3.702214140392448
free_insert,12,-0.029330543470175073,-3.6286695028160734e-05,0.045154600736708905,0.0,-3.6286695028160734e-05,3.740988655820169
free_insert,13,-0.027128755345161848,-3.0307951417186208e-05,0.04513953141544575,0.0,-3.0307951417186208e-05,3.688248755373453
free_insert,14,-0.024928561790446297,-2.4312646748963057e-05,0.04510721785378826,0.0,-2.4312646748963057e-05,3.714021456532094
free_insert,15,-0.022728855307464064,-1.832851893299881e-05,0.045080417782279766,0.0,-1.832851893299881e-05,3.682526065440735
free_insert,16,-0.020529267824778305,-1.233286213952189e-05,0.04504891173290114,0.0,-1.233286213952189e-05,3.685135208253683
free_insert,17,-0.018328943020733787,-6.348805659190055e-06,0.04502476880930489,0.0,-6.348805659190055e-06,3.649890461398183
free_insert,18,-0.016666771454386883,-1.8106246508120856e-06,0.044992670202189194,0.0,-1.8106246508120856e-06,3.6818340275666657
free_insert,19,-0.016172408676036247,-4.478604998088622e-07,0.04495947936637164,0.0,-4.478604998088622e-07,3.6884577490973114
free_insert,20,-0.016051490805237302,-1.2088596945601846e-07,0.04494168520330154,0.0,-1.2088596945601846e-07,3.695184772878586
free_insert,21,-0.016016832745772577,-3.909265526983452e-08,0.04493691380097868,0.0,-3.909265526983452e-08,3.6991590833296466
free_insert,22,-0.016006769380009948,-1.8358387471397793e-08,0.044935924900227874,0.0,-1.8358387471397793e-08,3.6999325279330746
free_insert,23,-0.016003849729511875,-1.3066463456684915e-08,0.044935765994821235,0.0,-1.3066463456684915e-08,3.6990258816766404
free_insert,24,-0.016003010443053647,-1.1704474416390103e-08,0.04493575492530131,0.0,-1.1704474416390103e-08,3.697450752796913
free_insert,25,-0.016002776623364856,-1.1346875751765764e-08,0.04493576044565852,0.0,-1.1346875751765764e-08,3.695702115498913
free_insert,26,-0.016002718084613857,-1.1246739893057095e-08,0.04493576369918797,0.0,-1.1246739893057095e-08,3.6939922404960592
free_insert,27,-0.016002709439408264,-1.1212623239758467e-08,0.044935764423968544,0.0,-1.1212623239758467e-08,3.6924015420840686
free_insert,28,-0.01600271426891281,-1.1195313495039834e-08,0.0449357639571812,0.0,-1.1195313495039834e-08,3.6909533733043127
free_insert,29,-0.016002722101004143,-1.1182152657372952e-08,0.04493576307896853,0.0,-1.1182152657372952e-08,3.6896477544532114
free_insert,30,-0.01600273001049721,-1.1169903229893966e-08,0.04493576212497049,0.0,-1.1169903229893966e-08,3.688475889364094
free_insert,31,-0.016002737252864503,-1.1157756446794103e-08,0.04493576121959195,0.0,-1.1157756446794103e-08,3.6874262232726838
free_insert,32,-0.01600274370268042,-1.1145526368995587e-08,0.04493576040095937,0.0,-1.1145526368995587e-08,3.6864868894764906
free_insert,33,-0.016002749401380557,-1.1133183582238497e-08,0.044935759674637796,0.0,-1.1133183582238497e-08,3.685646642499073
free_insert,34,-0.0160027544277991,-1.112073554891218e-08,0.0449357590348871,0.0,-1.112073554891218e-08,3.684895166812274
free_insert,35,-0.01600275886227885,-1.1108196529975612e-08,0.044935758472729376,0.0,-1.1108196529975612e-08,3.684223133527325
free_insert,36,-0.016002762777687553,-1.1095580458354804e-08,0.0449357579788958,0.0,-1.1095580458354804e-08,3.6836221597858785
free_insert,37,-0.016002766238008233,-1.1082899556973952e-08,0.04493575754482321,0.0,-1.1082899556973952e-08,3.683084734553178
free_insert,38,-0.016002769298930544,-1.107016430777057e-08,0.044935757162919046,0.0,-1.107016430777057e-08,3.682604136607901
free_insert,39,-0.016002772008860147,-1.1057383682062905e-08,0.044935756826560376,0.0,-1.1057383682062905e-08,3.682174354808632
free_insert,40,-0.016002774409914818,-1.1044565380952617e-08,0.044935756530005054,0.0,-1.1044565380952617e-08,3.6817900142295326
free_insert,41,-0.016002776538805344,-1.1031716039342903e-08,0.04493575626828215,0.0,-1.1031716039342903e-08,3.6814463091249245
free_insert,42,-0.016002778427590562,-1.101884139276804e-08,0.04493575603708608,0.0,-1.101884139276804e-08,3.6811389426405356
free_insert,43,-0.016002780104319127,-1.1005946413862525e-08,0.044935755832682125,0.0,-1.1005946413862525e-08,3.680864072812006
free_insert,44,-0.01600278159357443,-1.099303542494886e-08,0.04493575565182488,0.0,-1.099303542494886e-08,3.6806182642756275
free_insert,45,-0.016002782916938144,-1.0980112191651272e-08,0.04493575549168865,0.0,-1.0980112191651272e-08,3.680398445122701
free_insert,46,-0.015130143205429124,-6.5758477877869875e-09,0.044972391979714116,0.0,-6.5758477877869875e-09,3.6731609613585063
free_insert,47,-0.01394933368263062,-3.6847671844751908e-09,0.0449819350865029,0.0,-3.6847671844751908e-09,3.6674658592222977
free_insert,48,-0.012692494291017433,-1.6203696013503913e-09,0.04498685710156059,0.0,-1.6203696013503913e-09,3.677022409156744
free_insert,49,-0.011420395055587533,-1.105369577870492e-09,0.04498765831719004,0.0005796049444124676,-1.105369577870492e-09,3.6769577173511556
free_insert,50,-0.010144345901696635,-9.689886948727522e-10,0.04498233248570817,0.0018556540983033654,-9.689886948727522e-10,3.6865940727778224
free_insert,51,-0.008866590380487352,-1.1118166376465073e-09,0.04498564398314362,0.003133409619512648,-1.1118166376465073e-09,3.692663645804121
free_insert,52,-0.007588405278538623,-1.3027140652884107e-09,0.0449905494479666,0.004411594721461377,-1.3027140652884107e-09,3.697990689930163
free_insert,53,-0.006311006627732229,-1.3369497870229374e-09,0.04498772491844143,0.005688993372267771,-1.3369497870229374e-09,3.700393412096924
free_insert,54,-0.005032870824403095,-9.522352762635487e-10,0.04499061351722962,0.006967129175596905,-9.522352762635487e-10,3.7073633660672076
free_insert,55,-0.003755483091448928,-1.096532680779691e-09,0.04498756013853327,0.008244516908551072,-1.096532680779691e-09,3.709136813766425
free_insert,56,-0.002477328742130083,-8.552480490037795e-10,0.04499058955354435,0.009522671257869916,-8.552480490037795e-10,3.714764261069778
free_insert,57,-0.0011999319971106525,-1.028494117473415e-09,0.04498757919560313,0.010800068002889348,-1.028494117473415e-09,3.7152452455982856
free_insert,58,7.82274107609588e-05,-8.200826616509675e-10,0.044990611009835264,0.012078227410760959,-8.200826616509675e-10,3.719876144633189
free_insert,59,0.0013556257002422163,-9.858724593600226e-10,0.04498759419301627,0.013355625700242216,-9.858724593600226e-10,3.7196289768460975
free_insert,60,0.0026337838036350437,-7.933806393902587e-10,0.04499061407715263,0.014633783803635045,-7.933806393902587e-10,3.723706039969589
free_insert,61,0.003911181930129857,-9.482537236613863e-10,0.04498759411947876,0.01591118193012986,-9.482537236613863e-10,3.7230097681049164
free_insert,62,0.005189339188088133,-7.666013256032154e-10,0.04499061188088622,0.017189339188088133,-7.666013256032154e-10,3.726701306540018
free_insert,63,0.006466737452991037,-9.112361213911289e-10,0.04498759232048349,0.018466737452991037,-9.112361213911289e-10,3.725665015327387
free_insert,64,0.0077448944168939035,-7.389231976970074e-10,0.044990610207339056,0.019744894416893904,-7.389231976970074e-10,3.7290540435349486
free_insert,65,0.009022292924551987,-8.745416151644753e-10,0.04498759124808088,0.02102229292455199,-8.745416151644753e-10,3.727748627448614
free_insert,66,0.010300449719257329,-7.108883438180384e-10,0.04499060914455993,0.022300449719257327,-7.108883438180384e-10,3.7308987653418404
free_insert,67,0.011577848428570361,-8.385136258013247e-10,0.04498759055259892,0.02357784842857036,-8.385136258013247e-10,3.7293816875199495
free_insert,68,0.01285600508566776,-6.829404867969331e-10,0.04499060835636586,0.024856005085667758,-6.829404867969331e-10,3.732344443033325
free_insert,69,0.014133403948459878,-8.033803514222453e-10,0.044987590019423485,0.02613340394845988,-8.033803514222453e-10,3.7306615441284694
free_insert,70,0.0154115604949366,-6.553582724207803e-10,0.044990607738489605,0.0274115604949366,-6.553582724207803e-10,3.7334775361344947
free_insert,71,0.016688959476275446,-7.692719775988372e-10,0.04498758959970957,0.028688959476275446,-7.692719775988372e-10,3.7316647462220933
free_insert,72,0.017967115936295918,-6.283303873652267e-10,0.044990607255079536,0.02996711593629592,-6.283303873652267e-10,3.7343657527843246
free_insert,73,0.01924451501002833,-7.362686675537038e-10,0.04498758927201183,0.03124451501002833,-7.362686675537038e-10,3.7324511817352057
free_insert,74,0.020522671402773945,-6.019885989712381e-10,0.04499060687851807,0.03252267140277394,-6.019885989712381e-10,3.735062078131582
free_insert,75,0.021800070548561038,-7.044178091282662e-10,0.04498758901703444,0.03380007054856104,-7.044178091282662e-10,3.733067740672198
free_insert,76,0.023078226888893712,-5.764224684132886e-10,0.044990606585386034,0.03507822688889371,-5.764224684132886e-10,3.7356080139969294
free_insert,77,0.024355626090845257,-6.737423004150849e-10,0.04498758881864992,0.03635562609084526,-6.737423004150849e-10,3.733551158470945
free_insert,78,0.025633782390321127,-5.516896025621511e-10,0.04499060635715572,0.03763378239032113,-5.516896025621511e-10,3.736036077516958
free_insert,79,0.026911181636046548,-6.44246732620541e-10,0.044987588664259885,0.03891118163604655,-6.44246732620541e-10,3.7339302188175605
free_insert,80,0.0281893379036738,-5.278236204027266e-10,0.04499060617944336,0.0401893379036738,-5.278236204027266e-10,3.7363717477500233
free_insert,81,0.029466737183517663,-6.159222618037151e-10,0.044987588544102536,0.04146673718351766,-6.159222618037151e-10,3.734227475985787
free_insert,82,0.030744893426319767,-5.048402651923758e-10,0.044990606041068616,0.04274489342631976,-5.048402651923758e-10,3.7366349901751605
free_insert,83,0.032022292732757446,-5.887503121876364e-10,0.04498758845058923,0.04402229273275744,-5.887503121876364e-10,3.734460604247803
free_insert,84,0.03330044895620962,-4.827420325600317e-10,0.0449906059333264,0.04530044895620962,-4.827420325600317e-10,3.7368414510191683
free_insert,85,0.03457784828337641,-5.627053771399906e-10,0.04498758837781298,0.04657784828337641,-5.627053771399906e-10,3.73464345486606
free_insert,86,0.03585600449174663,-4.6152168745990376e-10,0.04499060584943735,0.04785600449174664,-4.6152168745990376e-10,3.737003392675088
free_insert,87,0.03713340383507133,-5.377571212504552e-10,0.044987588321175914,0.049133403835071324,-5.377571212504552e-10,3.7347868839241904
free_insert,88,0.038411560031686505,-4.4116492349039096e-10,0.04499060578412217,0.05041156003168651,-4.4116492349039096e-10,3.7371304263288874
free_insert,89,0.039688959387606006,-5.138719944324125e-10,0.04498758827709943,0.05168895938760601,-5.138719944324125e-10,3.7348994007106953
free_insert,90,0.040967115575059464,-4.216524064817515e-10,0.04499060573326982,0.05296711557505947,-4.216524064817515e-10,3.7372300858002454
free_insert,91,0.04224451494079637,-4.91014415380104e-10,0.0449875882427983,0.054244514940796365,-4.91014415380104e-10,3.7349876755988993
free_insert,92,0.04352267112110957,-4.0296127856361336e-10,0.04499060569367898,0.055522671121109576,-4.0296127856361336e-10,3.7373082770486885
free_insert,93,0.0448000704944989,-4.69147679559513e-10,0.044987588216104796,0.056800070494498894,-4.69147679559513e-10,3.735056937897539
free_insert,94,0.04607822666924752,-3.8506633881103765e-10,0.04499060566285678,0.058078226669247515,-3.8506633881103765e-10,3.7373696303108908
free_insert,95,0.04735562604860164,-4.4823463271008254e-10,0.04498758819533178,0.059355626048601645,-4.4823463271008254e-10,3.735111287532627
free_insert,96,0.04863378221901386,-3.6794091911164234e-10,0.04499060563886208,0.06063378221901386,-3.6794091911164234e-10,3.7374177759812106
free_insert,97,0.04991118160301724,-4.2823816455918553e-10,0.04498758817916625,0.06191118160301724,-4.2823816455918553e-10,3.7351539392455555
free_insert,98,0.05118933777005038,-3.51557535024587e-10,0.04499060562018339,0.06318933777005038,-3.51557535024587e-10,3.737455560767014
free_insert,99,0.052466737157677516,-4.0912157984401916e-10,0.0449875881665863,0.06446673715767752,-4.0912157984401916e-10,3.7351874139293355
free_insert,100,0.053744893322077734,-3.358883767988476e-10,0.044990605605643566,0.06574489332207774,-3.358883767988476e-10,3.7374852170598762
free_insert,101,0.055014236332691126,-4.2099259121912093e-10,0.044993422696277034,0.06701423633269113,-4.2099259121912093e-10,3.725126962403984
free_insert,102,0.05628526485303618,-6.171210561231741e-10,0.044999550532624104,0.06828526485303618,-6.171210561231741e-10,3.5132364329806367
free_insert,103,0.057565223425848557,-7.041835532403805e-10,0.04499145982107197,0.06956522342584856,-7.041835532403805e-10,3.2899281530340283
free_insert,104,0.058840606872485116,-5.435377339999151e-10,0.04499384243608907,0.07084060687248511,-5.435377339999151e-10,3.1951186230442525
free_insert,105,0.060118229738119096,-8.233208761263736e-10,0.04499831110080239,0.0721182297381191,-8.233208761263736e-10,2.963553538338901
free_insert,106,0.061400795024901124,-8.053233551469201e-10,0.04499406406504204,0.07340079502490113,-8.053233551469201e-10,2.9203618857838824
free_insert,107,0.06267460319740879,-6.993413260655443e-10,0.04499792756351903,0.07467460319740879,-6.993413260655443e-10,2.7424542231357276
free_insert,108,0.06394682990720177,-7.865473679179058e-10,0.04500225345875156,0.07594682990720177,-7.865473679179058e-10,2.643040781096907
free_insert,109,0.06522047423487429,-9.84106267543929e-10,0.045003629249571735,0.07722047423487428,-9.84106267543929e-10,2.523417192471724
free_insert,110,0.06650647437216689,-7.774079566263958e-10,0.04499164275675709,0.07850647437216689,-7.774079566263958e-10,2.3404318054363884
free_insert,111,0.0677821032777421,-6.613437774933347e-10,0.045000079061875746,0.0797821032777421,-6.613437774933347e-10,2.3027062129077116
free_insert,112,0.06906092073802547,-8.980179370485696e-10,0.04499923329175977,0.08106092073802547,-8.980179370485696e-10,2.126481913716687
free_insert,113,0.07034234681902345,-7.882354031062054e-10,0.044993141792836505,0.08234234681902344,-7.882354031062054e-10,2.0950202013427033
free_insert,114,0.07161181862348928,-9.133618810993409e-10,0.04500288010055313,0.08361181862348928,-9.133618810993409e-10,2.09366388341934
free_insert,115,0.07289448602655284,-8.296627814250458e-10,0.04499780444039038,0.08489448602655283,-8.296627814250458e-10,2.1113604542498505
free_insert,116,0.07417083609153485,-5.438745912471858e-10,0.044992801638834234,0.08617083609153485,-5.438745912471858e-10,2.0906739806691617
free_insert,117,0.07545067335427133,-7.655785826169207e-10,0.04499849826051319,0.08745067335427133,-7.655785826169207e-10,2.089127983011944
free_insert,118,0.0767318769734778,-6.960159078799681e-10,0.04498903637093431,0.0887318769734778,-6.960159078799681e-10,2.092588387307042
free_insert,119,0.07801145171010998,-5.639717021028324e-10,0.044993850603981055,0.09001145171010998,-5.639717021028324e-10,2.0686755833411
free_insert,120,0.07929037989526294,-5.451207540742248e-10,0.04499455208244346,0.09129037989526294,-5.451207540742248e-10,2.079099603992448
free_insert,121,0.08056425440840742,-6.871679009054838e-10,0.04499314563031367,0.09256425440840742,-6.871679009054838e-10,2.140762716833384
free_insert,122,0.08183479022467607,-7.297406223752091e-10,0.04500222863112169,0.09383479022467607,-7.297406223752091e-10,2.157136313833196
free_insert,123,0.0831165871636475,-7.949903691117212e-10,0.044992182367041375,0.0951165871636475,-7.949903691117212e-10,2.274816079324387
free_insert,124,0.08438809084347511,-7.166370605452635e-10,0.04499977807950874,0.0963880908434751,-7.166370605452635e-10,2.2579548969529797
free_insert,125,0.08567238511313406,-7.433431729416731e-10,0.04499867490362771,0.09767238511313406,-7.433431729416731e-10,2.3098205163609427
free_insert,126,0.08694230019575294,-5.389798519567076e-10,0.04499457438225806,0.09894230019575294,-5.389798519567076e-10,2.3120466721540387
free_insert,127,0.08822748858352639,-7.095629316704468e-10,0.04499623754669626,0.10022748858352638,-7.095629316704468e-10,2.3251942426049212
free_insert,128,0.0894977241236309,-5.913596119111394e-10,0.044996962491408894,0.1014977241236309,-5.913596119111394e-10,2.319913828859984
free_insert,129,0.09078311885618301,-7.250015852945274e-10,0.044995837128509415,0.102783118856183,-7.250015852945274e-10,2.323540727940282
free_insert,130,0.09205342133726892,-5.854510379360714e-10,0.044996836581970345,0.10405342133726891,-5.854510379360714e-10,2.310442841583843
free_insert,131,0.09333899773322857,-6.957356474419936e-10,0.04499557925324697,0.10533899773322856,-6.957356474419936e-10,2.3016087330396235
free_insert,132,0.09460935314118261,-5.533710124034355e-10,0.04499706812226485,0.10660935314118261,-5.533710124034355e-10,2.2809101846495903
free_insert,133,0.09589496265583049,-6.579844237551646e-10,0.04499541720287204,0.10789496265583048,-6.579844237551646e-10,2.266818046889502
free_insert,134,0.0971653220178921,-5.213549852098559e-10,0.04499725112243645,0.1091653220178921,-5.213549852098559e-10,2.299448551894033
free_insert,135,0.09845092876225858,-6.187573208555425e-10,0.044995374494138735,0.11045092876225858,-6.187573208555425e-10,2.385556804003478
right_hidden_jam,0,-0.05448083817381914,0.0006574642841978553,0.0451640403810555,0.0,0.0006574642841978553,3.089811687023945
right_hidden_jam,1,-0.05301204416547551,0.0006316582014560119,0.045208459203179355,0.0,0.0006316582014560119,3.116950326370964
right_hidden_jam,2,-0.05095070078367963,0.000596919541024687,0.04523985771275532,0.0,0.000596919541024687,3.1110660996574264
right_hidden_jam,3,-0.048784112129160645,0.0005600197229944479,0.04522800806512461,0.0,0.0005600197229944479,3.197995179388092
right_hidden_jam,4,-0.04659243070560042,0.0005226017481720127,0.045209109838115956,0.0,0.0005226017481720127,3.383819063107369
right_hidden_jam,5,-0.04440047895643845,0.00048504933447081333,0.045174722277633673,0.0,0.00048504933447081333,3.4040743880361606
right_hidden_jam,6,-0.04219668589878391,0.0004475074582167984,0.04517947375216972,0.0,0.0004475074582167984,3.4418575566627942
right_hidden_jam,7,-0.03999980620410904,0.0004099364034037704,0.04515427038168911,0.0,0.0004099364034037704,3.4249220409712997
right_hidden_jam,8,-0.03779716723584487,0.00037236736257261903,0.04515035183410336,0.0,0.00037236736257261903,3.469400140831378
